"Year","Tournament","Round","Player_1","Player_2","W/L_P1","Result","Sets_P1","Sets_P2"
"2016","Australian Open","S","Novak Djokovic","Roger Federer","W","6-1, 6-2, 3-6, 6-3","3","1"
"2015","ATP WT Finals","F","Novak Djokovic","Roger Federer","W","6-3, 6-4","2","0"
"2015","ATP WT Finals","RR","Novak Djokovic","Roger Federer","L","5-7, 2-6","0","2"
"2015","US Open","F","Novak Djokovic","Roger Federer","W","6-4, 5-7, 6-4, 6-4","3","1"
"2015","Cincinnati Masters 1000","F","Novak Djokovic","Roger Federer","L","6-7, 3-6","0","2"
"2015","Wimbledon","F","Novak Djokovic","Roger Federer","W","7-6, 6-7, 6-4, 6-3","3","1"
"2015","Rome Masters 1000","F","Novak Djokovic","Roger Federer","W","6-4, 6-3","2","0"
"2015","Indian Wells Masters 1000","F","Novak Djokovic","Roger Federer","W","6-3, 6-7(5), 6-2","2","1"
"2015","Dubai Masters 500","F","Novak Djokovic","Roger Federer","L","3-6, 5-7","0","2"
"2014","ATP WT Finals","F","Novak Djokovic","Roger Federer","W","WO","0","0"
"2014","Shanghai Masters 1000","S","Novak Djokovic","Roger Federer","L","4-6, 4-6","0","2"
"2014","Wimbledon","F","Novak Djokovic","Roger Federer","W","6-7(7), 6-4, 7-6(4), 5-7, 6-4","3","2"
"2014","Monte Carlo Masters 1000","S","Novak Djokovic","Roger Federer","L","5-7, 2-6","0","2"
"2014","Indian Wells Masters 1000","F","Novak Djokovic","Roger Federer","W","3-6, 6-3, 7-6(3)","2","1"
"2014","Dubai Masters 500","S","Novak Djokovic","Roger Federer","L","6-3, 3-6, 2-6","1","2"
"2013","ATP WT Finals","RR","Novak Djokovic","Roger Federer","W","6-4, 6-7(2), 6-2","2","1"
"2013","Paris Masters 1000","S","Novak Djokovic","Roger Federer","W","4-6, 6-3, 6-2","2","1"
"2012","ATP WT Finals","F","Novak Djokovic","Roger Federer","W","7-6(6), 7-5","2","0"
"2012","Cincinnati Masters 1000","F","Novak Djokovic","Roger Federer","L","0-6, 6-7","0","2"
"2012","Wimbledon","S","Novak Djokovic","Roger Federer","L","3-6, 6-3, 4-6, 3-6","1","3"
"2012","Roland Garros","S","Novak Djokovic","Roger Federer","W","6-4, 7-5, 6-3","3","0"
"2012","Rome Masters 1000","S","Novak Djokovic","Roger Federer","W","6-2, 7-6(4)","2","0"
"2011","US Open","S","Novak Djokovic","Roger Federer","W","6-7(7), 4-6, 6-3, 6-2, 7-5","3","2"
"2011","Roland Garros","S","Novak Djokovic","Roger Federer","L","6-7, 3-6, 6-3, 6-7","1","3"
"2011","Indian Wells Masters 1000","S","Novak Djokovic","Roger Federer","W","6-3, 3-6, 6-2","2","1"
"2011","Dubai Masters 500","F","Novak Djokovic","Roger Federer","W","6-3, 6-3","2","0"
"2011","Australian Open","S","Novak Djokovic","Roger Federer","W","7-6(3), 7-5, 6-4","3","0"
"2010","ATP WT Finals","S","Novak Djokovic","Roger Federer","L","1-6, 4-6","0","2"
"2010","Basel Masters 500","F","Novak Djokovic","Roger Federer","L","4-6, 6-3, 1-6","1","2"
"2010","Shanghai Masters 1000","S","Novak Djokovic","Roger Federer","L","5-7, 4-6","0","2"
"2010","US Open","S","Novak Djokovic","Roger Federer","W","5-7, 6-1, 5-7, 6-2, 7-5","3","2"
"2010","Toronto Masters 1000","S","Novak Djokovic","Roger Federer","L","1-6, 6-3, 5-7","1","2"
"2009","Basel Masters 500","F","Novak Djokovic","Roger Federer","W","6-4, 4-6, 6-2","2","1"
"2009","US Open","S","Novak Djokovic","Roger Federer","L","6-7, 5-7, 5-7","0","3"
"2009","Cincinnati Masters 1000","F","Novak Djokovic","Roger Federer","L","1-6, 5-7","0","2"
"2009","Rome Masters 1000","S","Novak Djokovic","Roger Federer","W","4-6, 6-3, 6-3","2","1"
"2009","Miami Masters 1000","S","Novak Djokovic","Roger Federer","W","3-6, 6-2, 6-3","2","1"
"2008","US Open","S","Novak Djokovic","Roger Federer","L","3-6, 7-5, 5-7, 2-6","1","3"
"2008","Monte Carlo Masters 1000","S","Novak Djokovic","Roger Federer","L","3-6, 2-3 RET","0","2"
"2008","Australian Open","S","Novak Djokovic","Roger Federer","W","7-5, 6-3, 7-6(5)","3","0"
"2007","US Open","F","Novak Djokovic","Roger Federer","L","6-7, 6-7, 4-6","0","3"
"2007","Montreal Masters 1000","F","Novak Djokovic","Roger Federer","W","7-6(2), 2-6, 7-6(2)","2","1"
"2007","Dubai Masters 500","Q","Novak Djokovic","Roger Federer","L","3-6, 7-6, 3-6","1","2"
"2007","Australian Open","R16","Novak Djokovic","Roger Federer","L","2-6, 5-7, 3-6","0","3"
"2006","Monte Carlo Masters 1000","R64","Novak Djokovic","Roger Federer","L","3-6, 6-2, 3-6","1","2"
"2016","Rome Masters 1000","F","Novak Djokovic","Andy Murray","L","3-6, 3-6","0","2"
"2016","Madrid Masters 1000","F","Novak Djokovic","Andy Murray","W","6-2, 3-6, 6-3","2","1"
"2016","Australian Open","F","Novak Djokovic","Andy Murray","W","6-1, 7-5, 7-6","3","0"
"2015","Paris Masters 1000","F","Novak Djokovic","Andy Murray","W","6-2, 6-4","2","0"
"2015","Shanghai Masters 1000","S","Novak Djokovic","Andy Murray","W","6-1, 6-3","2","0"
"2015","Montreal Masters 1000","F","Novak Djokovic","Andy Murray","L","4-6, 6-4, 3-6","1","2"
"2015","Roland Garros","S","Novak Djokovic","Andy Murray","W","6-3, 6-3, 5-7, 5-7, 6-1","3","2"
"2015","Miami Masters 1000","F","Novak Djokovic","Andy Murray","W","7-6(3), 4-6, 6-0","2","1"
"2015","Indian Wells Masters 1000","S","Novak Djokovic","Andy Murray","W","6-2, 6-3","2","0"
"2015","Australian Open","F","Novak Djokovic","Andy Murray","W","7-6(5), 6-7(4), 6-3, 6-0","3","1"
"2014","Paris Masters 1000","Q","Novak Djokovic","Andy Murray","W","7-5, 6-2","2","0"
"2014","Beijing Masters 500","S","Novak Djokovic","Andy Murray","W","6-3, 6-4","2","0"
"2014","US Open","Q","Novak Djokovic","Andy Murray","W","7-6(1), 6-7(1), 6-2, 6-4","3","1"
"2014","Miami Masters 1000","Q","Novak Djokovic","Andy Murray","W","7-5, 6-3","2","0"
"2013","Wimbledon","F","Novak Djokovic","Andy Murray","L","4-6, 5-7, 4-6","0","3"
"2013","Australian Open","F","Novak Djokovic","Andy Murray","W","6-7(2), 7-6(3), 6-3, 6-2","3","1"
"2012","ATP WT Finals","RR","Novak Djokovic","Andy Murray","W","4-6, 6-3, 7-5","2","1"
"2012","Shanghai Masters 1000","F","Novak Djokovic","Andy Murray","W","5-7, 7-6(11), 6-3","2","1"
"2012","US Open","F","Novak Djokovic","Andy Murray","L","6-7, 5-7, 6-2, 6-3, 2-6","2","3"
"2012","Miami Masters 1000","F","Novak Djokovic","Andy Murray","W","6-1, 7-6(4)","2","0"
"2012","Dubai Masters 500","S","Novak Djokovic","Andy Murray","L","2-6, 5-7","0","2"
"2012","Australian Open","S","Novak Djokovic","Andy Murray","W","6-3, 3-6, 6-7(4), 6-1, 7-5","3","2"
"2011","Cincinnati Masters 1000","F","Novak Djokovic","Andy Murray","L","4-6, 0-3 RET","0","2"
"2011","Rome Masters 1000","S","Novak Djokovic","Andy Murray","W","6-1, 3-6, 7-6(2)","2","1"
"2011","Australian Open","F","Novak Djokovic","Andy Murray","W","6-4, 6-2, 6-3","3","0"
"2009","Miami Masters 1000","F","Novak Djokovic","Andy Murray","L","2-6, 5-7","0","2"
"2008","Cincinnati Masters 1000","F","Novak Djokovic","Andy Murray","L","6-7, 6-7","0","2"
"2008","Toronto Masters 1000","Q","Novak Djokovic","Andy Murray","L","3-6, 6-7","0","2"
"2008","Monte Carlo Masters 1000","R16","Novak Djokovic","Andy Murray","W","6-0, 6-4","2","0"
"2007","Miami Masters 1000","S","Novak Djokovic","Andy Murray","W","6-1, 6-0","2","0"
"2007","Indian Wells Masters 1000","S","Novak Djokovic","Andy Murray","W","6-2, 6-3","2","0"
"2006","Madrid Masters 1000","R16","Novak Djokovic","Andy Murray","W","1-6, 7-5, 6-3","2","1"
"2015","Paris Masters 1000","S","Novak Djokovic","Stan Wawrinka","W","6-3, 3-6, 6-0","2","1"
"2015","Cincinnati Masters 1000","Q","Novak Djokovic","Stan Wawrinka","W","6-4, 6-1","2","0"
"2015","Roland Garros","F","Novak Djokovic","Stan Wawrinka","L","6-4, 4-6, 3-6, 4-6","1","3"
"2015","Australian Open","S","Novak Djokovic","Stan Wawrinka","W","7-6(1), 3-6, 6-4, 4-6, 6-0","3","2"
"2014","ATP WT Finals","RR","Novak Djokovic","Stan Wawrinka","W","6-3, 6-0","2","0"
"2014","Australian Open","Q","Novak Djokovic","Stan Wawrinka","L","6-2, 4-6, 2-6, 6-3, 7-9","2","3"
"2013","ATP WT Finals","S","Novak Djokovic","Stan Wawrinka","W","6-3, 6-3","2","0"
"2013","Paris Masters 1000","Q","Novak Djokovic","Stan Wawrinka","W","6-1, 6-4","2","0"
"2013","US Open","S","Novak Djokovic","Stan Wawrinka","W","2-6, 7-6(4), 3-6, 6-3, 6-4","3","2"
"2013","Australian Open","R16","Novak Djokovic","Stan Wawrinka","W","1-6, 7-5, 6-4, 6-7(5), 12-10","3","2"
"2012","US Open","R16","Novak Djokovic","Stan Wawrinka","W","6-4, 6-1, 3-1 RET","3","0"
"2012","Madrid Masters 1000","R16","Novak Djokovic","Stan Wawrinka","W","7-6(5), 6-4","2","0"
"2011","Rome Masters 1000","R16","Novak Djokovic","Stan Wawrinka","W","6-4, 6-1","2","0"
"2010","Monte Carlo Masters 1000","R16","Novak Djokovic","Stan Wawrinka","W","6-4, 6-4","2","0"
"2009","Basel Masters 500","Q","Novak Djokovic","Stan Wawrinka","W","3-6, 7-6(5), 6-2","2","1"
"2009","Monte Carlo Masters 1000","S","Novak Djokovic","Stan Wawrinka","W","4-6, 6-1, 6-3","2","1"
"2009","Indian Wells Masters 1000","R16","Novak Djokovic","Stan Wawrinka","W","7-6(7), 7-6(6)","2","0"
"2008","Rome Masters 1000","F","Novak Djokovic","Stan Wawrinka","W","4-6, 6-3, 6-3","2","1"
"2008","Indian Wells Masters 1000","Q","Novak Djokovic","Stan Wawrinka","W","7-6(5), 6-2","2","0"
"2007","Vienna Masters 500","F","Novak Djokovic","Stan Wawrinka","W","6-4, 6-0","2","0"
"2006","Vienna Masters 500","R16","Novak Djokovic","Stan Wawrinka","L","3-6, 3-6","0","2"
"2006","Umag Masters 250","F","Novak Djokovic","Stan Wawrinka","L","6-6 RET","0","0"
"2016","Rome Masters 1000","Q","Novak Djokovic","Rafael Nadal","W","7-5, 7-6","2","0"
"2016","Indian Wells Masters 1000","S","Novak Djokovic","Rafael Nadal","W","7-6, 6-2","2","0"
"2016","Doha Masters 250","F","Novak Djokovic","Rafael Nadal","W","6-1, 6-2","2","0"
"2015","ATP WT Finals","S","Novak Djokovic","Rafael Nadal","W","6-3, 6-3","2","0"
"2015","Beijing Masters 500","F","Novak Djokovic","Rafael Nadal","W","6-2, 6-2","2","0"
"2015","Roland Garros","Q","Novak Djokovic","Rafael Nadal","W","7-5, 6-3, 6-1","3","0"
"2015","Monte Carlo Masters 1000","S","Novak Djokovic","Rafael Nadal","W","6-3, 6-3","2","0"
"2014","Roland Garros","F","Novak Djokovic","Rafael Nadal","L","6-3, 5-7, 2-6, 4-6","1","3"
"2014","Rome Masters 1000","F","Novak Djokovic","Rafael Nadal","W","4-6, 6-3, 6-3","2","1"
"2014","Miami Masters 1000","F","Novak Djokovic","Rafael Nadal","W","6-3, 6-3","2","0"
"2013","ATP WT Finals","F","Novak Djokovic","Rafael Nadal","W","6-3, 6-4","2","0"
"2013","Beijing Masters 500","F","Novak Djokovic","Rafael Nadal","W","6-3, 6-4","2","0"
"2013","US Open","F","Novak Djokovic","Rafael Nadal","L","2-6, 6-3, 4-6, 1-6","1","3"
"2013","Montreal Masters 1000","S","Novak Djokovic","Rafael Nadal","L","4-6, 6-3, 6-7","1","2"
"2013","Roland Garros","S","Novak Djokovic","Rafael Nadal","L","4-6, 6-3, 1-6, 7-6, 7-9","2","3"
"2013","Monte Carlo Masters 1000","F","Novak Djokovic","Rafael Nadal","W","6-2, 7-6(1)","2","0"
"2012","Roland Garros","F","Novak Djokovic","Rafael Nadal","L","4-6, 3-6, 6-2, 5-7","1","3"
"2012","Rome Masters 1000","F","Novak Djokovic","Rafael Nadal","L","5-7, 3-6","0","2"
"2012","Monte Carlo Masters 1000","F","Novak Djokovic","Rafael Nadal","L","3-6, 1-6","0","2"
"2012","Australian Open","F","Novak Djokovic","Rafael Nadal","W","5-7, 6-4, 6-2, 6-7(5), 7-5","3","2"
"2011","US Open","F","Novak Djokovic","Rafael Nadal","W","6-2, 6-4, 6-7(3), 6-1","3","1"
"2011","Wimbledon","F","Novak Djokovic","Rafael Nadal","W","6-4, 6-1, 1-6, 6-3","3","1"
"2011","Rome Masters 1000","F","Novak Djokovic","Rafael Nadal","W","6-4, 6-4","2","0"
"2011","Madrid Masters 1000","F","Novak Djokovic","Rafael Nadal","W","7-5, 6-4","2","0"
"2011","Miami Masters 1000","F","Novak Djokovic","Rafael Nadal","W","4-6, 6-3, 7-6(4)","2","1"
"2011","Indian Wells Masters 1000","F","Novak Djokovic","Rafael Nadal","W","4-6, 6-3, 6-2","2","1"
"2010","ATP WT Finals","RR","Novak Djokovic","Rafael Nadal","L","5-7, 2-6","0","2"
"2010","US Open","F","Novak Djokovic","Rafael Nadal","L","4-6, 7-5, 4-6, 2-6","1","3"
"2009","ATP WT Finals","RR","Novak Djokovic","Rafael Nadal","W","7-6(5), 6-3","2","0"
"2009","Paris Masters 1000","S","Novak Djokovic","Rafael Nadal","W","6-2, 6-3","2","0"
"2009","Cincinnati Masters 1000","S","Novak Djokovic","Rafael Nadal","W","6-1, 6-4","2","0"
"2009","Madrid Masters 1000","S","Novak Djokovic","Rafael Nadal","L","6-3, 6-7, 6-7","1","2"
"2009","Rome Masters 1000","F","Novak Djokovic","Rafael Nadal","L","6-7, 2-6","0","2"
"2009","Monte Carlo Masters 1000","F","Novak Djokovic","Rafael Nadal","L","3-6, 6-2, 1-6","1","2"
"2008","Cincinnati Masters 1000","S","Novak Djokovic","Rafael Nadal","W","6-1, 7-5","2","0"
"2008","London Masters 250","F","Novak Djokovic","Rafael Nadal","L","6-7, 5-7","0","2"
"2008","Roland Garros","S","Novak Djokovic","Rafael Nadal","L","4-6, 2-6, 6-7","0","3"
"2008","Hamburg Masters 1000","S","Novak Djokovic","Rafael Nadal","L","5-7, 6-2, 2-6","1","2"
"2008","Indian Wells Masters 1000","S","Novak Djokovic","Rafael Nadal","W","6-3, 6-2","2","0"
"2007","ATP WT Finals","RR","Novak Djokovic","Rafael Nadal","L","4-6, 4-6","0","2"
"2007","Montreal Masters 1000","S","Novak Djokovic","Rafael Nadal","W","7-5, 6-3","2","0"
"2007","Wimbledon","S","Novak Djokovic","Rafael Nadal","L","6-3, 1-6, 1-4 RET","1","2"
"2007","Roland Garros","S","Novak Djokovic","Rafael Nadal","L","5-7, 4-6, 2-6","0","3"
"2007","Rome Masters 1000","Q","Novak Djokovic","Rafael Nadal","L","2-6, 3-6","0","2"
"2007","Miami Masters 1000","Q","Novak Djokovic","Rafael Nadal","W","6-3, 6-4","2","0"
"2007","Indian Wells Masters 1000","F","Novak Djokovic","Rafael Nadal","L","2-6, 5-7","0","2"
"2006","Roland Garros","Q","Novak Djokovic","Rafael Nadal","L","4-6, 4-6 RET","0","2"
"2016","Rome Masters 1000","S","Novak Djokovic","Kei Nishikori","W","2-6, 6-4, 7-6","2","1"
"2016","Madrid Masters 1000","S","Novak Djokovic","Kei Nishikori","W","6-3, 7-6","2","0"
"2016","Miami Masters 1000","F","Novak Djokovic","Kei Nishikori","W","6-3, 6-3","2","0"
"2016","Australian Open","Q","Novak Djokovic","Kei Nishikori","W","6-3, 6-2, 6-4","3","0"
"2015","ATP WT Finals","RR","Novak Djokovic","Kei Nishikori","W","6-1, 6-1","2","0"
"2015","Rome Masters 1000","Q","Novak Djokovic","Kei Nishikori","W","6-3, 3-6, 6-1","2","1"
"2014","ATP WT Finals","S","Novak Djokovic","Kei Nishikori","W","6-1, 3-6, 6-0","2","1"
"2014","Paris Masters 1000","S","Novak Djokovic","Kei Nishikori","W","6-2, 6-3","2","0"
"2014","US Open","S","Novak Djokovic","Kei Nishikori","L","4-6, 6-1, 6-7, 3-6","1","3"
"2014","Miami Masters 1000","S","Novak Djokovic","Kei Nishikori","W","WO","0","0"
"2011","Basel Masters 500","S","Novak Djokovic","Kei Nishikori","L","6-2, 6-7, 0-6","1","2"
"2010","Roland Garros","R64","Novak Djokovic","Kei Nishikori","W","6-1, 6-4, 6-4","3","0"
"2016","Indian Wells Masters 1000","Q","Novak Djokovic","Jo-Wilfried Tsonga","W","7-6, 7-6","2","0"
"2015","Shanghai Masters 1000","F","Novak Djokovic","Jo-Wilfried Tsonga","W","6-2, 6-4","2","0"
"2014","Toronto Masters 1000","R16","Novak Djokovic","Jo-Wilfried Tsonga","L","2-6, 2-6","0","2"
"2014","Wimbledon","R16","Novak Djokovic","Jo-Wilfried Tsonga","W","6-3, 6-4, 7-6(5)","3","0"
"2014","Roland Garros","R16","Novak Djokovic","Jo-Wilfried Tsonga","W","6-1, 6-4, 6-1","3","0"
"2013","Shanghai Masters 1000","S","Novak Djokovic","Jo-Wilfried Tsonga","W","6-2, 7-5","2","0"
"2013","Indian Wells Masters 1000","Q","Novak Djokovic","Jo-Wilfried Tsonga","W","6-3, 6-1","2","0"
"2012","ATP WT Finals","RR","Novak Djokovic","Jo-Wilfried Tsonga","W","7-6(4), 6-3","2","0"
"2012","Beijing Masters 500","F","Novak Djokovic","Jo-Wilfried Tsonga","W","7-6(4), 6-2","2","0"
"2012","Roland Garros","Q","Novak Djokovic","Jo-Wilfried Tsonga","W","6-1, 5-7, 5-7, 7-6(6), 6-1","3","2"
"2012","Rome Masters 1000","Q","Novak Djokovic","Jo-Wilfried Tsonga","W","7-5, 6-1","2","0"
"2011","Paris Masters 1000","Q","Novak Djokovic","Jo-Wilfried Tsonga","L","WO","0","0"
"2011","Montreal Masters 1000","S","Novak Djokovic","Jo-Wilfried Tsonga","W","6-4, 3-0 RET","2","0"
"2011","Wimbledon","S","Novak Djokovic","Jo-Wilfried Tsonga","W","7-6(4), 6-2, 6-7(9), 6-3","3","1"
"2010","Australian Open","Q","Novak Djokovic","Jo-Wilfried Tsonga","L","6-7, 7-6, 6-1, 3-6, 1-6","2","3"
"2009","Miami Masters 1000","Q","Novak Djokovic","Jo-Wilfried Tsonga","W","6-3, 6-4","2","0"
"2009","Marseille Masters 250","S","Novak Djokovic","Jo-Wilfried Tsonga","L","4-6, 6-7","0","2"
"2008","ATP WT Finals","RR","Novak Djokovic","Jo-Wilfried Tsonga","L","6-1, 5-7, 1-6","1","2"
"2008","Paris Masters 1000","R16","Novak Djokovic","Jo-Wilfried Tsonga","L","4-6, 6-1, 3-6","1","2"
"2008","Bangkok Masters 250","F","Novak Djokovic","Jo-Wilfried Tsonga","L","6-7, 4-6","0","2"
"2008","Australian Open","F","Novak Djokovic","Jo-Wilfried Tsonga","W","4-6, 6-4, 6-3, 7-6(2)","3","1"
"2016","Miami Masters 1000","Q","Novak Djokovic","Tomas Berdych","W","6-3, 6-3","2","0"
"2016","Doha Masters 250","S","Novak Djokovic","Tomas Berdych","W","6-3, 7-6","2","0"
"2015","ATP WT Finals","RR","Novak Djokovic","Tomas Berdych","W","6-3, 7-5","2","0"
"2015","Paris Masters 1000","Q","Novak Djokovic","Tomas Berdych","W","7-6, 7-6","2","0"
"2015","Monte Carlo Masters 1000","F","Novak Djokovic","Tomas Berdych","W","7-5, 4-6, 6-3","2","1"
"2015","Dubai Masters 500","S","Novak Djokovic","Tomas Berdych","W","6-0, 5-7, 6-4","2","1"
"2014","ATP WT Finals","RR","Novak Djokovic","Tomas Berdych","W","6-2, 6-2","2","0"
"2014","Beijing Masters 500","F","Novak Djokovic","Tomas Berdych","W","6-0, 6-2","2","0"
"2013","Wimbledon","Q","Novak Djokovic","Tomas Berdych","W","7-6(5), 6-4, 6-3","3","0"
"2013","Rome Masters 1000","Q","Novak Djokovic","Tomas Berdych","L","6-2, 5-7, 4-6","1","2"
"2013","Dubai Masters 500","F","Novak Djokovic","Tomas Berdych","W","7-5, 6-3","2","0"
"2013","Australian Open","Q","Novak Djokovic","Tomas Berdych","W","6-1, 4-6, 6-1, 6-4","3","1"
"2012","ATP WT Finals","RR","Novak Djokovic","Tomas Berdych","W","6-2, 7-6(6)","2","0"
"2012","Shanghai Masters 1000","S","Novak Djokovic","Tomas Berdych","W","6-3, 6-4","2","0"
"2012","Monte Carlo Masters 1000","S","Novak Djokovic","Tomas Berdych","W","4-6, 6-3, 6-2","2","1"
"2011","ATP WT Finals","RR","Novak Djokovic","Tomas Berdych","W","3-6, 6-3, 7-6(3)","2","1"
"2011","Cincinnati Masters 1000","S","Novak Djokovic","Tomas Berdych","W","7-5 RET","1","0"
"2011","Dubai Masters 500","S","Novak Djokovic","Tomas Berdych","W","6-7(5), 6-2, 4-2 RET","2","1"
"2011","Australian Open","Q","Novak Djokovic","Tomas Berdych","W","6-1, 7-6(5), 6-1","3","0"
"2010","ATP WT Finals","RR","Novak Djokovic","Tomas Berdych","W","6-3, 6-3","2","0"
"2010","Wimbledon","S","Novak Djokovic","Tomas Berdych","L","3-6, 6-7, 3-6","0","3"
"2009","Miami Masters 1000","R16","Novak Djokovic","Tomas Berdych","W","6-3, 6-2","2","0"
"2008","Bangkok Masters 250","S","Novak Djokovic","Tomas Berdych","W","7-5, 6-1","2","0"
"2015","Beijing Masters 500","S","Novak Djokovic","David Ferrer","W","6-2, 6-3","2","0"
"2015","Rome Masters 1000","S","Novak Djokovic","David Ferrer","W","6-4, 6-4","2","0"
"2015","Miami Masters 1000","Q","Novak Djokovic","David Ferrer","W","7-5, 7-5","2","0"
"2014","Shanghai Masters 1000","Q","Novak Djokovic","David Ferrer","W","6-4, 6-2","2","0"
"2014","Rome Masters 1000","Q","Novak Djokovic","David Ferrer","W","7-5, 4-6, 6-3","2","1"
"2013","Paris Masters 1000","F","Novak Djokovic","David Ferrer","W","7-5, 7-5","2","0"
"2013","Australian Open","S","Novak Djokovic","David Ferrer","W","6-2, 6-2, 6-1","3","0"
"2012","US Open","S","Novak Djokovic","David Ferrer","W","2-6, 6-1, 6-4, 6-2","3","1"
"2012","Miami Masters 1000","Q","Novak Djokovic","David Ferrer","W","6-2, 7-6(1)","2","0"
"2012","Australian Open","Q","Novak Djokovic","David Ferrer","W","6-4, 7-6(4), 6-1","3","0"
"2011","ATP WT Finals","RR","Novak Djokovic","David Ferrer","L","3-6, 1-6","0","2"
"2011","Madrid Masters 1000","Q","Novak Djokovic","David Ferrer","W","6-4, 4-6, 6-3","2","1"
"2010","Beijing Masters 500","F","Novak Djokovic","David Ferrer","W","6-2, 6-4","2","0"
"2009","Dubai Masters 500","F","Novak Djokovic","David Ferrer","W","7-5, 6-3","2","0"
"2008","Australian Open","Q","Novak Djokovic","David Ferrer","W","6-0, 6-3, 7-5","3","0"
"2007","ATP WT Finals","RR","Novak Djokovic","David Ferrer","L","4-6, 4-6","0","2"
"2007","US Open","S","Novak Djokovic","David Ferrer","W","6-4, 6-4, 6-3","3","0"
"2007","Monte Carlo Masters 1000","R16","Novak Djokovic","David Ferrer","L","5-7, 4-6","0","2"
"2007","Indian Wells Masters 1000","Q","Novak Djokovic","David Ferrer","W","6-3, 6-4","2","0"
"2004","Bucharest Masters 250","R16","Novak Djokovic","David Ferrer","L","6-4, 4-6, 4-6","1","2"
"2016","Madrid Masters 1000","Q","Novak Djokovic","Milos Raonic","W","6-3, 6-4","2","0"
"2016","Indian Wells Masters 1000","F","Novak Djokovic","Milos Raonic","W","6-2, 6-0","2","0"
"2015","Australian Open","Q","Novak Djokovic","Milos Raonic","W","7-6(5), 6-4, 6-2","3","0"
"2014","Paris Masters 1000","F","Novak Djokovic","Milos Raonic","W","6-2, 6-3","2","0"
"2014","Roland Garros","Q","Novak Djokovic","Milos Raonic","W","7-5, 7-6(5), 6-4","3","0"
"2014","Rome Masters 1000","S","Novak Djokovic","Milos Raonic","W","6-7(5), 7-6(4), 6-3","2","1"
"2015","US Open","S","Novak Djokovic","Marin Cilic","W","6-0, 6-1, 6-2","3","0"
"2015","Wimbledon","Q","Novak Djokovic","Marin Cilic","W","6-4, 6-4, 6-4","3","0"
"2015","Monte Carlo Masters 1000","Q","Novak Djokovic","Marin Cilic","W","6-0, 6-3","2","0"
"2014","ATP WT Finals","RR","Novak Djokovic","Marin Cilic","W","6-1, 6-1","2","0"
"2014","Wimbledon","Q","Novak Djokovic","Marin Cilic","W","6-1, 3-6, 6-7(4), 6-2, 6-2","3","2"
"2014","Roland Garros","R32","Novak Djokovic","Marin Cilic","W","6-3, 6-2, 6-7(2), 6-4","3","1"
"2014","Indian Wells Masters 1000","R16","Novak Djokovic","Marin Cilic","W","1-6, 6-2, 6-3","2","1"
"2012","Cincinnati Masters 1000","Q","Novak Djokovic","Marin Cilic","W","6-3, 6-2","2","0"
"2011","Montreal Masters 1000","R16","Novak Djokovic","Marin Cilic","W","7-5, 6-2","2","0"
"2009","Beijing Masters 500","F","Novak Djokovic","Marin Cilic","W","6-2, 7-6(4)","2","0"
"2009","Dubai Masters 500","Q","Novak Djokovic","Marin Cilic","W","6-3, 6-4","2","0"
"2008","US Open","R32","Novak Djokovic","Marin Cilic","W","6-7(7), 7-5, 6-4, 7-6(0)","3","1"
"2008","Dubai Masters 500","R32","Novak Djokovic","Marin Cilic","W","6-4, 6-3","2","0"
"2015","Wimbledon","S","Novak Djokovic","Richard Gasquet","W","7-6, 6-4, 6-4","3","0"
"2015","Roland Garros","R16","Novak Djokovic","Richard Gasquet","W","6-1, 6-2, 6-3","3","0"
"2013","ATP WT Finals","RR","Novak Djokovic","Richard Gasquet","W","7-6(5), 4-6, 6-3","2","1"
"2013","Beijing Masters 500","S","Novak Djokovic","Richard Gasquet","W","6-4, 6-2","2","0"
"2013","Montreal Masters 1000","Q","Novak Djokovic","Richard Gasquet","W","6-1, 6-2","2","0"
"2012","Toronto Masters 1000","F","Novak Djokovic","Richard Gasquet","W","6-3, 6-2","2","0"
"2012","Miami Masters 1000","R16","Novak Djokovic","Richard Gasquet","W","7-5, 6-3","2","0"
"2011","Roland Garros","R16","Novak Djokovic","Richard Gasquet","W","6-4, 6-4, 6-2","3","0"
"2011","Indian Wells Masters 1000","Q","Novak Djokovic","Richard Gasquet","W","6-2, 6-4","2","0"
"2010","Shanghai Masters 1000","R16","Novak Djokovic","Richard Gasquet","W","6-1, 6-1","2","0"
"2007","ATP WT Finals","RR","Novak Djokovic","Richard Gasquet","L","4-6, 2-6","0","2"
"2007","Estoril Masters 250","F","Novak Djokovic","Richard Gasquet","W","7-6(7), 0-6, 6-1","2","1"
"2006","Madrid Masters 1000","R32","Novak Djokovic","Richard Gasquet","W","7-6(2), 1-6, 6-1","2","1"
"2016","Miami Masters 1000","S","Novak Djokovic","David Goffin","W","7-6, 6-4","2","0"
"2015","Cincinnati Masters 1000","R16","Novak Djokovic","David Goffin","W","6-4, 2-6, 6-3","2","1"
"2013","Cincinnati Masters 1000","R16","Novak Djokovic","David Goffin","W","6-2, 6-0","2","0"
"2013","Roland Garros","R128","Novak Djokovic","David Goffin","W","7-6(5), 6-4, 7-5","3","0"
"2014","Paris Masters 1000","R16","Novak Djokovic","Gael Monfils","W","6-3, 7-6(2)","2","0"
"2014","Toronto Masters 1000","R32","Novak Djokovic","Gael Monfils","W","6-2, 6-7(4), 7-6(2)","2","1"
