"Name","Won_Loss","perc_SPW","Aces","DFs","perc_RPW","perc_BPOC","Tiebreak_WL","season"
"Novak Djokovic","14-0",69.5,74,20,43,48.6,"5-0",2016
"Andy Murray","6-5",65,79,16,36.7,42,"1-2",2016
"Roger Federer","9-1",71.7,74,12,38.8,43.3,"3-0",2016
"Stanislas Wawrinka","4-4",62.9,61,15,34,35.4,"2-1",2016
"Rafael Nadal","8-5",66.4,27,17,41.4,38.5,"3-3",2016
"Kei Nishikori","4-4",61.7,24,16,38,41.2,"0-0",2016
"Jo-Wilfried Tsonga","2-3",64.5,50,9,34.2,16.7,"1-2",2016
"Tomas Berdych","2-3",62.1,31,11,34.4,55.6,"0-2",2016
"David Ferrer","2-5",60.8,10,16,37.4,28.6,"1-0",2016
"Richard Gasquet","2-3",59.1,20,16,35.2,33.3,"1-2",2016
"Milos Raonic","3-1",69.4,55,15,32.2,28.6,"4-0",2016
"Marin Cilic","2-4",61.4,77,24,34.9,31.9,"1-2",2016
"David Goffin","2-2",72.5,21,8,34.8,57.1,"1-1",2016
"Gael Monfils","2-3",64.2,32,23,38,34.4,"0-1",2016
"Dominic Thiem","5-4",64.1,53,21,37.2,38.8,"2-3",2016
"John Isner","2-2",71.4,80,7,27,38.5,"1-2",2016
"Roberto Bautista Agut","4-3",66.5,25,15,31.9,21.1,"3-1",2016
"Gilles Simon","1-1",66.7,4,2,30.6,66.7,"1-0",2016
"Kevin Anderson","2-0",76.3,45,2,35.9,25,"0-1",2016
"Nick Kyrgios","2-3",65.6,56,16,34.3,50,"1-2",2016
"Benoit Paire","2-3",59.1,33,22,42.9,53.3,"1-0",2016
"Bernard Tomic","2-1",65.1,38,6,36.4,27.3,"1-3",2016
"Feliciano Lopez","1-3",61.6,33,22,30.5,20,"3-1",2016
"Viktor Troicki","3-1",64.1,46,7,37.9,28.9,"1-2",2016
"Pablo Cuevas","3-1",64.4,19,7,42.8,58.3,"1-1",2016
"Jack Sock","3-2",67.7,38,10,32.9,50,"1-1",2016
"Philipp Kohlschreiber","2-4",62.6,22,11,34.8,29.2,"1-0",2016
"Alexandr Dolgopolov","0-3",60.1,25,12,34.7,35.7,"0-1",2016
"Grigor Dimitrov","1-2",62.8,18,1,35.6,57.1,"1-0",2016
"Fabio Fognini","1-1",64.7,9,5,38.7,33.3,"1-0",2016
"Ivo Karlovic","1-2",78.3,51,6,26.5,18.2,"1-4",2016
"Steve Johnson","1-3",73.1,49,10,30.1,40,"1-3",2016
"Jeremy Chardy","0-1",64.2,2,3,19.6,0,"0-0",2016
"Joao Sousa","4-0",65.2,10,9,38.5,33.3,"1-0",2016
"Thomaz Bellucci","2-1",70.7,11,9,37.3,35,"0-0",2016
"Federico Delbonis","1-2",65.3,8,9,38.4,55.6,"0-1",2016
"Sam Querrey","2-2",68,45,6,33.3,38.5,"0-0",2016
"Marcos Baghdatis","2-2",64.5,19,11,36.1,47.1,"2-1",2016
"Borna Coric","2-1",65.5,23,4,32.6,21.4,"3-1",2016
"Andreas Seppi","1-1",41.9,4,3,40.4,66.7,"0-0",2016
"Gilles Muller","0-5",66.7,53,17,25.9,50,"1-5",2016
"Guido Pella","1-0",72.9,2,0,47.8,36.4,"0-0",2016
"Martin Klizan","1-2",59.8,18,13,34.3,26.3,"1-1",2016
"Vasek Pospisil","0-1",63.8,8,1,24.6,0,"0-0",2016
"Leonardo Mayer","1-0",67.1,9,3,30.4,100,"0-0",2016
"Guillermo Garcia-Lopez","1-2",63.3,14,10,38.5,54.5,"0-1",2016
"Nicolas Mahut","1-1",70.3,22,5,36.2,25,"1-1",2016
"Alexander Zverev","0-2",64.6,16,2,38.2,20,"0-1",2016
"Pablo Carreno Busta","1-1",69.6,6,2,36.2,50,"0-1",2016
