"","Year","Tournament","Round","Player","Opponent","WL_P1","Result","Sets_P1","Sets_P2","X1","X2","X3","X4","X5"
"1","2015","Washington Masters 500","R16","Alexander Zverev","Alexandr Dolgopolov","W","2-6, 6-2, 6-4","2","1","2-6","6-2","6-4","",""
"2","2016","Australian Open","R128","Alexander Zverev","Andy Murray","L","1-6, 2-6, 3-6","0","3","1-6","2-6","3-6","",""
"3","2015","Cincinnati Masters 1000","R64","Alexander Zverev","Borna Coric","L","5-7, 6-3, 6-7","1","2","5-7","6-3","6-7","",""
"4","2014","Hamburg Masters 500","S","Alexander Zverev","David Ferrer","L","0-6, 1-6","0","2","0-6","1-6","","",""
"5","2016","Munich Masters 250","Q","Alexander Zverev","David Goffin","W","6-3, 4-6, 6-3","2","1","6-3","4-6","6-3","",""
"6","2016","Nice Masters 250","F","Alexander Zverev","Dominic Thiem","L","4-6, 6-3, 0-6","1","2","4-6","6-3","0-6","",""
"7","2016","Munich Masters 250","S","Alexander Zverev","Dominic Thiem","L","6-4, 2-6, 3-6","1","2","6-4","2-6","3-6","",""
"8","2016","Rotterdam Masters 500","Q","Alexander Zverev","Gael Monfils","L","6-7, 3-6","0","2","6-7","3-6","","",""
"9","2015","Marseille Masters 250","R32","Alexander Zverev","Gael Monfils","L","1-6, 6-7","0","2","1-6","6-7","","",""
"10","2016","Nice Masters 250","Q","Alexander Zverev","Gilles Simon","W","6-3, 6-7, 7-6","2","1","6-3","6-7","7-6","",""
"11","2016","Indian Wells Masters 1000","R32","Alexander Zverev","Gilles Simon","W","6-2, 6-2","2","0","6-2","6-2","","",""
"12","2016","Rotterdam Masters 500","R16","Alexander Zverev","Gilles Simon","W","7-5, 3-6, 7-6","2","1","7-5","3-6","7-6","",""
"13","2016","Rome Masters 1000","R64","Alexander Zverev","Grigor Dimitrov","W","6-1, 6-4","2","0","6-1","6-4","","",""
"14","2016","Indian Wells Masters 1000","R64","Alexander Zverev","Grigor Dimitrov","W","6-4, 3-6, 7-5","2","1","6-4","3-6","7-5","",""
"15","2014","Basel Masters 500","R32","Alexander Zverev","Grigor Dimitrov","L","6-2, 4-6, 2-6","1","2","6-2","4-6","2-6","",""
"16","2015","Halle Masters 500","R16","Alexander Zverev","Ivo Karlovic","L","7-6, 3-6, 3-6","1","2","7-6","3-6","3-6","",""
"17","2015","Kuala Lumpur Masters 250","R32","Alexander Zverev","Jeremy Chardy","L","6-3, 3-6, 2-6","1","2","6-3","3-6","2-6","",""
"18","2016","Nice Masters 250","S","Alexander Zverev","Joao Sousa","W","6-4, 4-6, 6-2","2","1","6-4","4-6","6-2","",""
"19","2015","Washington Masters 500","R32","Alexander Zverev","Kevin Anderson","W","2-6, 6-3, 6-4","2","1","2-6","6-3","6-4","",""
"20","2015","Nottingham Masters 250","R16","Alexander Zverev","Marcos Baghdatis","L","3-6, 3-6","0","2","3-6","3-6","","",""
"21","2016","Montpellier Masters 250","R16","Alexander Zverev","Marin Cilic","W","7-6, 7-6","2","0","7-6","7-6","","",""
"22","2015","Washington Masters 500","Q","Alexander Zverev","Marin Cilic","L","5-7, 6-7","0","2","5-7","6-7","","",""
"23","2015","US Open","R128","Alexander Zverev","Philipp Kohlschreiber","L","7-6, 2-6, 0-6, 6-2, 4-6","2","3","7-6","2-6","0-6","6-2","4-6"
"24","2015","Munich Masters 250","R16","Alexander Zverev","Philipp Kohlschreiber","L","2-6, 4-6","0","2","2-6","4-6","","",""
"25","2016","Indian Wells Masters 1000","R16","Alexander Zverev","Rafael Nadal","L","7-6, 0-6, 5-7","1","2","7-6","0-6","5-7","",""
"26","2015","Rotterdam Masters 500","R32","Alexander Zverev","Roberto Bautista Agut","L","4-6, 1-6","0","2","4-6","1-6","","",""
"27","2013","Hamburg Masters 500","R64","Alexander Zverev","Roberto Bautista Agut","L","3-6, 2-6","0","2","3-6","2-6","","",""
"28","2016","Miami Masters 1000","R64","Alexander Zverev","Steve Johnson","L","6-7, 6-7","0","2","6-7","6-7","","",""
"29","2016","Marseille Masters 250","R16","Alexander Zverev","Tomas Berdych","L","3-6, 6-3, 5-7","1","2","3-6","6-3","5-7","",""
"30","2015","Stockholm Masters 250","R16","Alexander Zverev","Tomas Berdych","L","3-6, 4-6","0","2","3-6","4-6","","",""
"31","2016","Rotterdam Masters 500","R32","Alexander Zverev","Vasek Pospisil","W","7-5, 6-2","2","0","7-5","6-2","","",""
"32","2015","Stuttgart Masters 250","R16","Alexander Zverev","Viktor Troicki","L","3-6, 7-6, 3-6","1","2","3-6","7-6","3-6","",""
"33","2016","Miami Masters 1000","R64","Alexandr Dolgopolov","Andreas Seppi","W","6-4, 6-4","2","0","6-4","6-4","","",""
"34","2012","Madrid Masters 1000","R32","Alexandr Dolgopolov","Andreas Seppi","W","6-7(5), 7-6(5), 6-3","2","1","6-7","7-6","6-3","",""
"35","2011","Miami Masters 1000","R64","Alexandr Dolgopolov","Andreas Seppi","W","6-1, 5-3 RET","2","0","6-1","5-3 RET","","",""
"36","2010","Madrid Masters 1000","R64","Alexandr Dolgopolov","Andreas Seppi","W","6-3, 6-4","2","0","6-3","6-4","","",""
"37","2012","Shanghai Masters 1000","R16","Alexandr Dolgopolov","Andy Murray","L","2-6, 2-6","0","2","2-6","2-6","","",""
"38","2012","Brisbane Masters 250","F","Alexandr Dolgopolov","Andy Murray","L","1-6, 3-6","0","2","1-6","3-6","","",""
"39","2012","Brisbane Masters 250","F","Alexandr Dolgopolov","Andy Murray","L","1-6, 3-6","0","2","1-6","3-6","","",""
"40","2011","Australian Open","Q","Alexandr Dolgopolov","Andy Murray","L","5-7, 3-6, 7-6, 3-6","1","3","5-7","3-6","7-6","3-6",""
"41","2012","Wimbledon","R64","Alexandr Dolgopolov","Benoit Paire","L","6-7, 4-6, 4-6","0","3","6-7","4-6","4-6","",""
"42","2016","Acapulco Masters 500","S","Alexandr Dolgopolov","Bernard Tomic","L","6-1, 4-6, 3-6","1","2","6-1","4-6","3-6","",""
"43","2015","Cincinnati Masters 1000","R32","Alexandr Dolgopolov","Bernard Tomic","W","6-4, 6-1","2","0","6-4","6-1","","",""
"44","2015","Memphis Masters 250","R16","Alexandr Dolgopolov","Bernard Tomic","L","1-6, 5-7","0","2","1-6","5-7","","",""
"45","2014","Sydney Masters 250","Q","Alexandr Dolgopolov","Bernard Tomic","L","4-6, 3-6","0","2","4-6","3-6","","",""
"46","2013","Monte Carlo Masters 1000","R64","Alexandr Dolgopolov","Bernard Tomic","W","6-2, 6-4","2","0","6-2","6-4","","",""
"47","2012","Monte Carlo Masters 1000","R32","Alexandr Dolgopolov","Bernard Tomic","W","6-2, 5-7, 6-1","2","1","6-2","5-7","6-1","",""
"48","2012","Australian Open","R32","Alexandr Dolgopolov","Bernard Tomic","L","6-4, 6-7, 6-7, 6-2, 3-6","2","3","6-4","6-7","6-7","6-2","3-6"
"49","2011","Shanghai Masters 1000","R16","Alexandr Dolgopolov","Bernard Tomic","W","5-7, 6-1, 6-0","2","1","5-7","6-1","6-0","",""
"50","2011","Sydney Masters 250","R32","Alexandr Dolgopolov","Bernard Tomic","W","6-7(3), 6-1, 6-2","2","1","6-7","6-1","6-2","",""
"51","2010","Brisbane Masters 250","R32","Alexandr Dolgopolov","Bernard Tomic","W","6-4, 6-4","2","0","6-4","6-4","","",""
"52","2015","Shanghai Masters 1000","R64","Alexandr Dolgopolov","Borna Coric","L","3-6, 6-1, 6-7","1","2","3-6","6-1","6-7","",""
"53","2015","Monte Carlo Masters 1000","R64","Alexandr Dolgopolov","Borna Coric","W","7-5, 5-7, 6-2","2","1","7-5","5-7","6-2","",""
"54","2016","Acapulco Masters 500","R16","Alexandr Dolgopolov","David Ferrer","W","6-4, 6-4","2","0","6-4","6-4","","",""
"55","2015","Paris Masters 1000","R32","Alexandr Dolgopolov","David Ferrer","L","2-6, 2-6","0","2","2-6","2-6","","",""
"56","2014","Rio de Janeiro Masters 500","S","Alexandr Dolgopolov","David Ferrer","W","6-4, 6-4","2","0","6-4","6-4","","",""
"57","2014","Doha Masters 250","R32","Alexandr Dolgopolov","David Ferrer","L","3-6, 7-5, 3-6","1","2","3-6","7-5","3-6","",""
"58","2013","Wimbledon","R32","Alexandr Dolgopolov","David Ferrer","L","7-6, 6-7, 6-2, 1-6, 2-6","2","3","7-6","6-7","6-2","1-6","2-6"
"59","2012","Valencia Masters 500","F","Alexandr Dolgopolov","David Ferrer","L","1-6, 6-3, 4-6","1","2","1-6","6-3","4-6","",""
"60","2011","Paris Masters 1000","R16","Alexandr Dolgopolov","David Ferrer","L","3-6, 2-6","0","2","3-6","2-6","","",""
"61","2011","Nice Masters 250","Q","Alexandr Dolgopolov","David Ferrer","W","6-4, 1-6, 7-5","2","1","6-4","1-6","7-5","",""
"62","2011","Acapulco Masters 500","S","Alexandr Dolgopolov","David Ferrer","L","7-5, 1-6, 1-6","1","2","7-5","1-6","1-6","",""
"63","2010","US Open","R128","Alexandr Dolgopolov","David Ferrer","L","2-6, 2-6, 3-6","0","3","2-6","2-6","3-6","",""
"64","2010","Cincinnati Masters 1000","R64","Alexandr Dolgopolov","David Ferrer","L","6-3, 3-6, 4-6","1","2","6-3","3-6","4-6","",""
"65","2013","US Open","R128","Alexandr Dolgopolov","David Goffin","W","6-2, 6-4, 6-4","3","0","6-2","6-4","6-4","",""
"66","2016","Rome Masters 1000","R64","Alexandr Dolgopolov","Dominic Thiem","L","3-6, 6-3, 4-6","1","2","3-6","6-3","4-6","",""
"67","2015","Nottingham Masters 250","R16","Alexandr Dolgopolov","Dominic Thiem","W","6-3, 6-3","2","0","6-3","6-3","","",""
"68","2014","Paris Masters 1000","R64","Alexandr Dolgopolov","Dominic Thiem","L","2-6, 6-4, 0-6","1","2","2-6","6-4","0-6","",""
"69","2014","Madrid Masters 1000","R64","Alexandr Dolgopolov","Fabio Fognini","W","7-5, 4-6, 6-3","2","1","7-5","4-6","6-3","",""
"70","2014","Indian Wells Masters 1000","R16","Alexandr Dolgopolov","Fabio Fognini","W","6-2, 6-4","2","0","6-2","6-4","","",""
"71","2014","Rio de Janeiro Masters 500","Q","Alexandr Dolgopolov","Fabio Fognini","W","6-1, 6-1","2","0","6-1","6-1","","",""
"72","2012","Umag Masters 250","R16","Alexandr Dolgopolov","Fabio Fognini","W","6-2, 6-4","2","0","6-2","6-4","","",""
"73","2010","St. Petersburg Masters 250","R32","Alexandr Dolgopolov","Fabio Fognini","W","7-6(5), 6-4","2","0","7-6","6-4","","",""
"74","2010","Barcelona Masters 500","R64","Alexandr Dolgopolov","Feliciano Lopez","L","3-6, 0-3 RET","0","2","3-6","0-3 RET","","",""
"75","2015","Monte Carlo Masters 1000","R32","Alexandr Dolgopolov","Gael Monfils","L","6-7, 6-7","0","2","6-7","6-7","","",""
"76","2013","Winston-Salem Masters 250","S","Alexandr Dolgopolov","Gael Monfils","L","6-7, 3-6","0","2","6-7","3-6","","",""
"77","2013","Australian Open","R128","Alexandr Dolgopolov","Gael Monfils","L","7-6, 6-7, 3-6, 3-6","1","3","7-6","6-7","3-6","3-6",""
"78","2012","Valencia Masters 500","R16","Alexandr Dolgopolov","Gilles Muller","W","6-4, 6-4","2","0","6-4","6-4","","",""
"79","2014","Valencia Masters 500","R32","Alexandr Dolgopolov","Gilles Simon","W","6-0, 6-3","2","0","6-0","6-3","","",""
"80","2012","Shanghai Masters 1000","R32","Alexandr Dolgopolov","Gilles Simon","W","6-3, 6-4","2","0","6-3","6-4","","",""
"81","2012","Brisbane Masters 250","S","Alexandr Dolgopolov","Gilles Simon","W","6-3, 6-4","2","0","6-3","6-4","","",""
"82","2012","Brisbane Masters 250","S","Alexandr Dolgopolov","Gilles Simon","W","6-3, 6-4","2","0","6-3","6-4","","",""
"83","2011","Sydney Masters 250","Q","Alexandr Dolgopolov","Gilles Simon","L","4-6, 3-6","0","2","4-6","3-6","","",""
"84","2016","Sydney Masters 250","Q","Alexandr Dolgopolov","Grigor Dimitrov","L","6-4, 3-6, 4-6","1","2","6-4","3-6","4-6","",""
"85","2015","Montreal Masters 1000","R64","Alexandr Dolgopolov","Grigor Dimitrov","L","4-6, 5-7","0","2","4-6","5-7","","",""
"86","2014","Wimbledon","R32","Alexandr Dolgopolov","Grigor Dimitrov","L","7-6, 4-6, 6-2, 4-6, 1-6","2","3","7-6","4-6","6-2","4-6","1-6"
"87","2014","London Masters 250","Q","Alexandr Dolgopolov","Grigor Dimitrov","L","WO","0","0","WO","","","",""
"88","2013","Basel Masters 500","R16","Alexandr Dolgopolov","Grigor Dimitrov","L","3-6, 2-6","0","2","3-6","2-6","","",""
"89","2011","Winston-Salem Masters 250","R16","Alexandr Dolgopolov","Grigor Dimitrov","W","6-4, 1-6, 7-6(7)","2","1","6-4","1-6","7-6","",""
"90","2015","Washington Masters 500","R32","Alexandr Dolgopolov","Ivo Karlovic","W","6-4, 7-6","2","0","6-4","7-6","","",""
"91","2015","Wimbledon","R64","Alexandr Dolgopolov","Ivo Karlovic","L","7-5, 3-6, 4-6, 7-6, 11-13","2","3","7-5","3-6","4-6","7-6","11-13"
"92","2014","Acapulco Masters 500","Q","Alexandr Dolgopolov","Ivo Karlovic","W","6-4, 7-6(4)","2","0","6-4","7-6","","",""
"93","2011","US Open","R32","Alexandr Dolgopolov","Ivo Karlovic","W","6-7(4), 6-2, 6-4, 6-4","3","1","6-7","6-2","6-4","6-4",""
"94","2014","Tokyo Masters 500","R32","Alexandr Dolgopolov","Jack Sock","L","4-6, 1-6","0","2","4-6","1-6","","",""
"95","2014","Valencia Masters 500","R16","Alexandr Dolgopolov","Jeremy Chardy","L","6-3, 6-7, 5-7","1","2","6-3","6-7","5-7","",""
"96","2014","Acapulco Masters 500","R16","Alexandr Dolgopolov","Jeremy Chardy","W","6-3, 6-4","2","0","6-3","6-4","","",""
"97","2014","Buenos Aires Masters 250","R16","Alexandr Dolgopolov","Jeremy Chardy","L","3-6, 6-3, 6-7","1","2","3-6","6-3","6-7","",""
"98","2014","Australian Open","R64","Alexandr Dolgopolov","Jeremy Chardy","L","5-7, 6-7, 7-6, 6-7","1","3","5-7","6-7","7-6","6-7",""
"99","2012","Shanghai Masters 1000","R64","Alexandr Dolgopolov","Jeremy Chardy","W","6-3, 6-2","2","0","6-3","6-2","","",""
"100","2011","Moscow Masters 250","R16","Alexandr Dolgopolov","Jeremy Chardy","L","3-6, 6-7","0","2","3-6","6-7","","",""
"101","2010","Shanghai Masters 1000","R32","Alexandr Dolgopolov","Jeremy Chardy","L","1-6, 7-5, 2-6","1","2","1-6","7-5","2-6","",""
"102","2014","Rome Masters 1000","R64","Alexandr Dolgopolov","Jo-Wilfried Tsonga","L","3-6, 6-7","0","2","3-6","6-7","","",""
"103","2012","Madrid Masters 1000","R16","Alexandr Dolgopolov","Jo-Wilfried Tsonga","W","7-5, 3-6, 7-6(2)","2","1","7-5","3-6","7-6","",""
"104","2011","Metz Masters 250","S","Alexandr Dolgopolov","Jo-Wilfried Tsonga","L","4-6, 4-6","0","2","4-6","4-6","","",""
"105","2011","Miami Masters 1000","R32","Alexandr Dolgopolov","Jo-Wilfried Tsonga","W","6-7(2), 6-4, 7-5","2","1","6-7","6-4","7-5","",""
"106","2011","Australian Open","R32","Alexandr Dolgopolov","Jo-Wilfried Tsonga","W","3-6, 6-3, 3-6, 6-1, 6-1","3","2","3-6","6-3","3-6","6-1","6-1"
"107","2010","Wimbledon","R64","Alexandr Dolgopolov","Jo-Wilfried Tsonga","L","4-6, 4-6, 7-6, 7-5, 8-10","2","3","4-6","4-6","7-6","7-5","8-10"
"108","2016","Barcelona Masters 500","Q","Alexandr Dolgopolov","Kei Nishikori","L","5-7, 0-6","0","2","5-7","0-6","","",""
"109","2016","Miami Masters 1000","R32","Alexandr Dolgopolov","Kei Nishikori","L","2-6, 2-6","0","2","2-6","2-6","","",""
"110","2015","Acapulco Masters 500","Q","Alexandr Dolgopolov","Kei Nishikori","L","4-6, 4-6","0","2","4-6","4-6","","",""
"111","2013","Brisbane Masters 250","Q","Alexandr Dolgopolov","Kei Nishikori","L","4-6, 6-7","0","2","4-6","6-7","","",""
"112","2013","Brisbane Masters 250","Q","Alexandr Dolgopolov","Kei Nishikori","L","4-6, 6-7","0","2","4-6","6-7","","",""
"113","2011","Shanghai Masters 1000","Q","Alexandr Dolgopolov","Kei Nishikori","L","4-6, 3-6","0","2","4-6","3-6","","",""
"114","2014","Acapulco Masters 500","S","Alexandr Dolgopolov","Kevin Anderson","L","1-6, 7-5, 4-6","1","2","1-6","7-5","4-6","",""
"115","2013","Montreal Masters 1000","R64","Alexandr Dolgopolov","Kevin Anderson","W","7-6(0), 6-4","2","0","7-6","6-4","","",""
"116","2012","US Open","R64","Alexandr Dolgopolov","Marcos Baghdatis","W","6-4, 3-6, 6-0, 7-6(5)","3","1","6-4","3-6","6-0","7-6",""
"117","2012","Indian Wells Masters 1000","R32","Alexandr Dolgopolov","Marcos Baghdatis","W","6-4, 5-7, 6-4","2","1","6-4","5-7","6-4","",""
"118","2011","Metz Masters 250","R16","Alexandr Dolgopolov","Marcos Baghdatis","W","6-7(5), 7-5, 6-3","2","1","6-7","7-5","6-3","",""
"119","2010","Moscow Masters 250","Q","Alexandr Dolgopolov","Marcos Baghdatis","L","2-6, 6-7","0","2","2-6","6-7","","",""
"120","2010","Beijing Masters 500","R32","Alexandr Dolgopolov","Marcos Baghdatis","W","6-4, 6-4","2","0","6-4","6-4","","",""
"121","2012","Umag Masters 250","S","Alexandr Dolgopolov","Marin Cilic","L","5-7, 2-6","0","2","5-7","2-6","","",""
"122","2011","Umag Masters 250","F","Alexandr Dolgopolov","Marin Cilic","W","6-4, 3-6, 6-3","2","1","6-4","3-6","6-3","",""
"123","2015","Rome Masters 1000","R64","Alexandr Dolgopolov","Martin Klizan","W","6-4, 6-1","2","0","6-4","6-1","","",""
"124","2015","Brisbane Masters 250","R16","Alexandr Dolgopolov","Martin Klizan","L","6-1, 6-7, 6-7","1","2","6-1","6-7","6-7","",""
"125","2010","Casablanca Masters 250","R32","Alexandr Dolgopolov","Martin Klizan","L","6-4, 1-6, 5-7","1","2","6-4","1-6","5-7","",""
"126","2016","Madrid Masters 1000","R32","Alexandr Dolgopolov","Milos Raonic","L","4-6, 7-6, 2-6","1","2","4-6","7-6","2-6","",""
"127","2015","Indian Wells Masters 1000","R32","Alexandr Dolgopolov","Milos Raonic","L","6-7, 4-6","0","2","6-7","4-6","","",""
"128","2014","Indian Wells Masters 1000","Q","Alexandr Dolgopolov","Milos Raonic","W","6-3, 6-4","2","0","6-3","6-4","","",""
"129","2015","Roland Garros","R128","Alexandr Dolgopolov","Nicolas Almagro","L","3-6, 6-2, 4-6, 6-7","1","3","3-6","6-2","4-6","6-7",""
"130","2014","Rio de Janeiro Masters 500","R32","Alexandr Dolgopolov","Nicolas Almagro","W","2-6, 6-3, 6-0","2","1","2-6","6-3","6-0","",""
"131","2011","Costa Do Sauipe Masters 250","F","Alexandr Dolgopolov","Nicolas Almagro","L","3-6, 6-7","0","2","3-6","6-7","","",""
"132","2010","Shanghai Masters 1000","R64","Alexandr Dolgopolov","Nicolas Almagro","W","2-6, 7-5, 7-6(3)","2","1","2-6","7-5","7-6","",""
"133","2010","Roland Garros","R32","Alexandr Dolgopolov","Nicolas Almagro","L","3-6, 3-6, 4-6","0","3","3-6","3-6","4-6","",""
"134","2013","Paris Masters 1000","R64","Alexandr Dolgopolov","Nicolas Mahut","L","6-7, 1-6","0","2","6-7","1-6","","",""
"135","2015","Cincinnati Masters 1000","S","Alexandr Dolgopolov","Novak Djokovic","L","6-4, 6-7, 2-6","1","2","6-4","6-7","2-6","",""
"136","2015","Miami Masters 1000","R16","Alexandr Dolgopolov","Novak Djokovic","L","7-6, 5-7, 0-6","1","2","7-6","5-7","0-6","",""
"137","2013","Rome Masters 1000","R16","Alexandr Dolgopolov","Novak Djokovic","L","1-6, 4-6","0","2","1-6","4-6","","",""
"138","2012","Monte Carlo Masters 1000","R16","Alexandr Dolgopolov","Novak Djokovic","L","6-2, 1-6, 4-6","1","2","6-2","1-6","4-6","",""
"139","2011","US Open","R16","Alexandr Dolgopolov","Novak Djokovic","L","6-7, 4-6, 2-6","0","3","6-7","4-6","2-6","",""
"140","2014","Buenos Aires Masters 250","R32","Alexandr Dolgopolov","Pablo Cuevas","W","6-3, 4-6, 7-6(5)","2","1","6-3","4-6","7-6","",""
"141","2015","Stuttgart Masters 250","R32","Alexandr Dolgopolov","Philipp Kohlschreiber","L","3-6, 3-6","0","2","3-6","3-6","","",""
"142","2011","Paris Masters 1000","R32","Alexandr Dolgopolov","Philipp Kohlschreiber","W","6-3, 7-6(6)","2","0","6-3","7-6","","",""
"143","2011","Halle Masters 250","R16","Alexandr Dolgopolov","Philipp Kohlschreiber","L","3-6, 6-7","0","2","3-6","6-7","","",""
"144","2016","Rio de Janeiro Masters 500","Q","Alexandr Dolgopolov","Rafael Nadal","L","WO","0","0","WO","","","",""
"145","2014","Indian Wells Masters 1000","R32","Alexandr Dolgopolov","Rafael Nadal","W","6-3, 3-6, 7-6(5)","2","1","6-3","3-6","7-6","",""
"146","2014","Rio de Janeiro Masters 500","F","Alexandr Dolgopolov","Rafael Nadal","L","3-6, 6-7","0","2","3-6","6-7","","",""
"147","2013","Shanghai Masters 1000","R32","Alexandr Dolgopolov","Rafael Nadal","L","3-6, 2-6","0","2","3-6","2-6","","",""
"148","2012","Indian Wells Masters 1000","R16","Alexandr Dolgopolov","Rafael Nadal","L","3-6, 2-6","0","2","3-6","2-6","","",""
"149","2011","Miami Masters 1000","R16","Alexandr Dolgopolov","Rafael Nadal","L","1-6, 2-6","0","2","1-6","2-6","","",""
"150","2010","Madrid Masters 1000","R32","Alexandr Dolgopolov","Rafael Nadal","L","4-6, 3-6","0","2","4-6","3-6","","",""
"151","2016","Australian Open","R128","Alexandr Dolgopolov","Ricardas Berankis","W","6-1, 3-6, 6-4, 6-2","3","1","6-1","3-6","6-4","6-2",""
"152","2015","Miami Masters 1000","R128","Alexandr Dolgopolov","Ricardas Berankis","W","6-4, 6-1","2","0","6-4","6-1","","",""
"153","2014","Australian Open","R128","Alexandr Dolgopolov","Ricardas Berankis","W","7-5, 7-5, 6-2","3","0","7-5","7-5","6-2","",""
"154","2016","Indian Wells Masters 1000","R32","Alexandr Dolgopolov","Richard Gasquet","L","6-2, 2-6, 1-6","1","2","6-2","2-6","1-6","",""
"155","2011","Cincinnati Masters 1000","R64","Alexandr Dolgopolov","Richard Gasquet","L","1-6, 6-7","0","2","1-6","6-7","","",""
"156","2010","Nice Masters 250","R16","Alexandr Dolgopolov","Richard Gasquet","L","0-6, 6-2, 3-6","1","2","0-6","6-2","3-6","",""
"157","2014","Shanghai Masters 1000","R64","Alexandr Dolgopolov","Roberto Bautista Agut","L","4-6, 4-6","0","2","4-6","4-6","","",""
"158","2016","Australian Open","R64","Alexandr Dolgopolov","Roger Federer","L","3-6, 5-7, 1-6","0","3","3-6","5-7","1-6","",""
"159","2014","Indian Wells Masters 1000","S","Alexandr Dolgopolov","Roger Federer","L","3-6, 1-6","0","2","3-6","1-6","","",""
"160","2010","Basel Masters 500","R32","Alexandr Dolgopolov","Roger Federer","L","4-6, 2-5 RET","0","2","4-6","2-5 RET","","",""
"161","2015","Tokyo Masters 500","R32","Alexandr Dolgopolov","Sam Querrey","L","6-7, 4-6","0","2","6-7","4-6","","",""
"162","2015","Nottingham Masters 250","S","Alexandr Dolgopolov","Sam Querrey","L","6-4, 3-6, 5-7","1","2","6-4","3-6","5-7","",""
"163","2012","Winston-Salem Masters 250","Q","Alexandr Dolgopolov","Sam Querrey","L","5-7, 6-4, 6-7","1","2","5-7","6-4","6-7","",""
"164","2012","Washington Masters 500","S","Alexandr Dolgopolov","Sam Querrey","W","6-4, 6-4","2","0","6-4","6-4","","",""
"165","2011","Sydney Masters 250","R16","Alexandr Dolgopolov","Sam Querrey","W","6-4, 6-3","2","0","6-4","6-3","","",""
"166","2014","Miami Masters 1000","R16","Alexandr Dolgopolov","Stan Wawrinka","W","6-4, 3-6, 6-1","2","1","6-4","3-6","6-1","",""
"167","2013","Rome Masters 1000","R32","Alexandr Dolgopolov","Stan Wawrinka","W","WO","0","0","WO","","","",""
"168","2012","US Open","R32","Alexandr Dolgopolov","Stan Wawrinka","L","4-6, 4-6, 2-6","0","3","4-6","4-6","2-6","",""
"169","2011","Acapulco Masters 500","Q","Alexandr Dolgopolov","Stan Wawrinka","W","6-4, 7-6(6)","2","0","6-4","7-6","","",""
"170","2016","Madrid Masters 1000","R64","Alexandr Dolgopolov","Steve Johnson","W","3-6, 6-3, 7-6","2","1","3-6","6-3","7-6","",""
"171","2016","Acapulco Masters 500","R32","Alexandr Dolgopolov","Steve Johnson","W","7-5, 7-6","2","0","7-5","7-6","","",""
"172","2015","Vienna Masters 500","R32","Alexandr Dolgopolov","Steve Johnson","L","3-6, 6-4, 2-6","1","2","3-6","6-4","2-6","",""
"173","2015","Cincinnati Masters 1000","Q","Alexandr Dolgopolov","Tomas Berdych","W","6-4, 6-2","2","0","6-4","6-2","","",""
"174","2014","Miami Masters 1000","Q","Alexandr Dolgopolov","Tomas Berdych","L","4-6, 6-7","0","2","4-6","6-7","","",""
"175","2013","Montreal Masters 1000","R32","Alexandr Dolgopolov","Tomas Berdych","L","3-6, 4-6","0","2","3-6","4-6","","",""
"176","2011","Montreal Masters 1000","R32","Alexandr Dolgopolov","Tomas Berdych","L","6-4, 2-6, 3-6","1","2","6-4","2-6","3-6","",""
"177","2010","Toronto Masters 1000","R16","Alexandr Dolgopolov","Tomas Berdych","L","3-6, 7-6, 4-6","1","2","3-6","7-6","4-6","",""
"178","2014","Acapulco Masters 500","R32","Alexandr Dolgopolov","Vasek Pospisil","W","6-2, 6-2","2","0","6-2","6-2","","",""
"179","2011","Roland Garros","R32","Alexandr Dolgopolov","Viktor Troicki","L","4-6, 6-3, 3-6, 4-6","1","3","4-6","6-3","3-6","4-6",""
"180","2010","New Haven Masters 250","R16","Alexandr Dolgopolov","Viktor Troicki","L","7-6, 6-7, 2-6","1","2","7-6","6-7","2-6","",""
"181","2015","Wimbledon","R32","Andreas Seppi","Andy Murray","L","2-6, 2-6, 6-1, 1-6","1","3","2-6","2-6","6-1","1-6",""
"182","2013","Miami Masters 1000","R16","Andreas Seppi","Andy Murray","L","2-6, 4-6","0","2","2-6","4-6","","",""
"183","2010","Rome Masters 1000","R32","Andreas Seppi","Andy Murray","L","2-6, 4-6","0","2","2-6","4-6","","",""
"184","2010","Indian Wells Masters 1000","R64","Andreas Seppi","Andy Murray","L","4-6, 4-6","0","2","4-6","4-6","","",""
"185","2009","London Masters 250","R32","Andreas Seppi","Andy Murray","L","1-6, 4-6","0","2","1-6","4-6","","",""
"186","2009","Rotterdam Masters 500","R16","Andreas Seppi","Andy Murray","L","6-7, 5-7","0","2","6-7","5-7","","",""
"187","2006","Nottingham Masters 250","Q","Andreas Seppi","Andy Murray","W","7-6(4), 4-6, 6-1","2","1","7-6","4-6","6-1","",""
"188","2012","Basel Masters 500","R32","Andreas Seppi","Benoit Paire","L","6-4, 2-6, 3-6","1","2","6-4","2-6","3-6","",""
"189","2012","Belgrade Masters 250","F","Andreas Seppi","Benoit Paire","W","6-3, 6-2","2","0","6-3","6-2","","",""
"190","2013","Sydney Masters 250","S","Andreas Seppi","Bernard Tomic","L","6-7, 4-6","0","2","6-7","4-6","","",""
"191","2010","London Masters 250","R64","Andreas Seppi","Bernard Tomic","L","3-6, 7-5, 3-6","1","2","3-6","7-5","3-6","",""
"192","2015","Wimbledon","R64","Andreas Seppi","Borna Coric","W","4-6, 6-4, 6-7, 6-1, 6-1","3","2","4-6","6-4","6-7","6-1","6-1"
