"Name","Won_Loss","perc_SPW","Aces","DFs","perc_RPW","perc_BPOC","Tiebreak_WL","season"
"Sam Querrey","2-1","69.7","65","11","33.8","28.0","0-2","2015"
"Marcos Baghdatis","1-3","61.5","18","10","35.6","41.7","1-1","2015"
"Borna Coric","0-2","54.7"," 2"," 4","35.2"," 7.1","0-0","2015"
"Andreas Seppi","2-2","55.8","10"," 4","36.2","57.1","1-0","2015"
"Gilles Muller","0-4","65.9","41","16","26.1","50.0","1-3","2015"
"Guido Pella","0-0"," 0.0"," 0"," 0"," 0.0"," 0.0","0-0","2015"
"Martin Klizan","1-2","55.4"," 8"," 7","37.2","30.4","0-0","2015"
"Vasek Pospisil","0-1","63.8"," 8"," 1","24.6"," 0.0","0-0","2015"
"Leonardo Mayer","1-1","64.6","17"," 6","32.2","15.4","0-0","2015"
"Nicolas Mahut","1-0","72.2"," 6"," 2","36.2","25.0","0-0","2015"
"Alexander Zverev","0-1","56.6"," 1"," 2","38.2","20.0","0-0","2015"
"Pablo Carreno Busta","0-1","67.9"," 4"," 2","27.1","50.0","0-1","2015"
"Novak Djokovic","6-0","68.1","30"," 8","40.4"," 33.3","5-0","2016"
"Andy Murray","3-1","67.8","26"," 6","39.2"," 40.0","0-1","2016"
"Roger Federer","1-1","61.1","11"," 1","50.9"," 66.7","0-0","2016"
"Stanislas Wawrinka","2-0","66.3","15"," 3","47.3"," 58.3","0-0","2016"
"Rafael Nadal","3-4","64.4","16"," 7","42.6"," 36.0","1-3","2016"
"Kei Nishikori","3-2","65.5","17"," 7","41.3"," 41.4","0-2","2016"
"Jo-Wilfried Tsonga","0-2","58.1","18"," 3"," 0.0","  0.0","0-1","2016"
"Tomas Berdych","0-2","56.9","10"," 4"," 0.0","  0.0","0-1","2016"
"Milos Raonic","2-1","68.5","36","11","32.1","  0.0","3-0","2016"
"Richard Gasquet","1-0","57.8"," 4"," 4","42.3"," 40.0","0-0","2016"
"Marin Cilic","1-0","71.6","22"," 4","40.4"," 33.3","0-1","2016"
"David Ferrer","0-2","64.2"," 4"," 4"," 0.0","  0.0","0-0","2016"
"David Goffin","0-2","61.7"," 8"," 2"," 0.0","  0.0","0-1","2016"
"Gael Monfils","2-0","65.1","10"," 4","50.9"," 56.3","0-0","2016"
"Dominic Thiem","3-2","61.4","24","19","41.2"," 48.0","1-0","2016"
"Roberto Bautista Agut","2-0","69.5"," 6"," 7","32.8"," 20.0","2-0","2016"
"John Isner","0-1","68.3","14"," 1"," 0.0","  0.0","0-1","2016"
"Nick Kyrgios","1-3","58.9","34","13","46.8"," 75.0","0-0","2016"
"Benoit Paire","0-4","53.2","21","20"," 0.0","  0.0","1-0","2016"
"Bernard Tomic","1-1","63.6","15"," 6","42.6"," 28.6","0-2","2016"
"Feliciano Lopez","0-2","55.1","12"," 9"," 0.0","  0.0","0-1","2016"
"Viktor Troicki","2-0","63.1","17"," 3","43.3"," 32.3","0-0","2016"
"Jack Sock","2-0","72.3","20"," 2","33.3"," 55.6","1-0","2016"
"Philipp Kohlschreiber","1-2","61.6","11"," 5","41.8"," 33.3","0-0","2016"
"Pablo Cuevas","2-0","69.5","18"," 7","40.7"," 46.2","1-1","2016"
"Ivo Karlovic","0-1","71.2"," 9"," 3"," 0.0","  0.0","0-2","2016"
"Alexandr Dolgopolov","0-1","57.4","12"," 4"," 0.0","  0.0","0-0","2016"
"Federico Delbonis","1-2","65.0","10","11","40.8"," 60.0","1-1","2016"
"Fabio Fognini","0-1","58.2"," 2"," 3"," 0.0","  0.0","0-0","2016"
"Grigor Dimitrov","2-1","72.6","23"," 2","31.9","100.0","3-0","2016"
"Sam Querrey","1-2","67.7","23"," 5","27.9"," 66.7","0-0","2016"
"Marcos Baghdatis","1-0","64.6"," 8"," 4","40.4"," 55.6","1-0","2016"
"Thomaz Bellucci","1-0","70.1"," 4"," 6","42.7"," 28.6","0-0","2016"
"Gilles Muller","0-2","66.9","21"," 3"," 0.0","  0.0","0-2","2016"
"Pablo Carreno Busta","2-0","60.0"," 3"," 1","60.6"," 57.1","0-0","2016"
"Borna Coric","2-0","64.7","23"," 3","32.4"," 35.3","3-1","2016"
"Nicolas Mahut","0-1","68.6","16"," 3"," 0.0","  0.0","1-1","2016"
"Martin Klizan","1-1","61.3","13","13","31.4"," 33.3","1-1","2016"
"Alexander Zverev","0-2","62.4","19"," 5"," 0.0","  0.0","0-1","2016"
"Nicolas Almagro","2-0","69.5","12"," 5","40.4"," 42.9","0-0","2016"
