"Year","Tournament","Round","Player_1","Player_2","W/L_P1","Result","Sets_P1","Sets_P2"
"2016","Australian Open","S","Roger Federer","Novak Djokovic","L","1-6, 2-6, 6-3, 3-6","1","3"
"2015","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","3-6, 4-6","0","2"
"2015","ATP WT Finals","RR","Roger Federer","Novak Djokovic","W","7-5, 6-2","2","0"
"2015","US Open","F","Roger Federer","Novak Djokovic","L","4-6, 7-5, 4-6, 4-6","1","3"
"2015","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","7-6, 6-3","2","0"
"2015","Wimbledon","F","Roger Federer","Novak Djokovic","L","6-7, 7-6, 4-6, 3-6","1","3"
"2015","Rome Masters 1000","F","Roger Federer","Novak Djokovic","L","4-6, 3-6","0","2"
"2015","Indian Wells Masters 1000","F","Roger Federer","Novak Djokovic","L","3-6, 7-6, 2-6","1","2"
"2015","Dubai Masters 500","F","Roger Federer","Novak Djokovic","W","6-3, 7-5","2","0"
"2014","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","WO","0","0"
"2014","Shanghai Masters 1000","S","Roger Federer","Novak Djokovic","W","6-4, 6-4","2","0"
"2014","Wimbledon","F","Roger Federer","Novak Djokovic","L","7-6, 4-6, 6-7, 7-5, 4-6","2","3"
"2014","Monte Carlo Masters 1000","S","Roger Federer","Novak Djokovic","W","7-5, 6-2","2","0"
"2014","Indian Wells Masters 1000","F","Roger Federer","Novak Djokovic","L","6-3, 3-6, 6-7","1","2"
"2014","Dubai Masters 500","S","Roger Federer","Novak Djokovic","W","3-6, 6-3, 6-2","2","1"
"2013","ATP WT Finals","RR","Roger Federer","Novak Djokovic","L","4-6, 7-6, 2-6","1","2"
"2013","Paris Masters 1000","S","Roger Federer","Novak Djokovic","L","6-4, 3-6, 2-6","1","2"
"2012","ATP WT Finals","F","Roger Federer","Novak Djokovic","L","6-7, 5-7","0","2"
"2012","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","6-0, 7-6(7)","2","0"
"2012","Wimbledon","S","Roger Federer","Novak Djokovic","W","6-3, 3-6, 6-4, 6-3","3","1"
"2012","Roland Garros","S","Roger Federer","Novak Djokovic","L","4-6, 5-7, 3-6","0","3"
"2012","Rome Masters 1000","S","Roger Federer","Novak Djokovic","L","2-6, 6-7","0","2"
"2011","US Open","S","Roger Federer","Novak Djokovic","L","7-6, 6-4, 3-6, 2-6, 5-7","2","3"
"2011","Roland Garros","S","Roger Federer","Novak Djokovic","W","7-6(5), 6-3, 3-6, 7-6(5)","3","1"
"2011","Indian Wells Masters 1000","S","Roger Federer","Novak Djokovic","L","3-6, 6-3, 2-6","1","2"
"2011","Dubai Masters 500","F","Roger Federer","Novak Djokovic","L","3-6, 3-6","0","2"
"2011","Australian Open","S","Roger Federer","Novak Djokovic","L","6-7, 5-7, 4-6","0","3"
"2010","ATP WT Finals","S","Roger Federer","Novak Djokovic","W","6-1, 6-4","2","0"
"2010","Basel Masters 500","F","Roger Federer","Novak Djokovic","W","6-4, 3-6, 6-1","2","1"
"2010","Shanghai Masters 1000","S","Roger Federer","Novak Djokovic","W","7-5, 6-4","2","0"
"2010","US Open","S","Roger Federer","Novak Djokovic","L","7-5, 1-6, 7-5, 2-6, 5-7","2","3"
"2010","Toronto Masters 1000","S","Roger Federer","Novak Djokovic","W","6-1, 3-6, 7-5","2","1"
"2009","Basel Masters 500","F","Roger Federer","Novak Djokovic","L","4-6, 6-4, 2-6","1","2"
"2009","US Open","S","Roger Federer","Novak Djokovic","W","7-6(3), 7-5, 7-5","3","0"
"2009","Cincinnati Masters 1000","F","Roger Federer","Novak Djokovic","W","6-1, 7-5","2","0"
"2009","Rome Masters 1000","S","Roger Federer","Novak Djokovic","L","6-4, 3-6, 3-6","1","2"
"2009","Miami Masters 1000","S","Roger Federer","Novak Djokovic","L","6-3, 2-6, 3-6","1","2"
"2008","US Open","S","Roger Federer","Novak Djokovic","W","6-3, 5-7, 7-5, 6-2","3","1"
"2008","Monte Carlo Masters 1000","S","Roger Federer","Novak Djokovic","W","6-3, 3-2 RET","2","0"
"2008","Australian Open","S","Roger Federer","Novak Djokovic","L","5-7, 3-6, 6-7","0","3"
"2007","US Open","F","Roger Federer","Novak Djokovic","W","7-6(4), 7-6(2), 6-4","3","0"
"2007","Montreal Masters 1000","F","Roger Federer","Novak Djokovic","L","6-7, 6-2, 6-7","1","2"
"2007","Dubai Masters 500","Q","Roger Federer","Novak Djokovic","W","6-3, 6-7(6), 6-3","2","1"
"2007","Australian Open","R16","Roger Federer","Novak Djokovic","W","6-2, 7-5, 6-3","3","0"
"2006","Monte Carlo Masters 1000","R64","Roger Federer","Novak Djokovic","W","6-3, 2-6, 6-3","2","1"
"2016","Rome Masters 1000","F","Andy Murray","Novak Djokovic","W","6-3, 6-3","2","0"
"2016","Madrid Masters 1000","F","Andy Murray","Novak Djokovic","L","2-6, 6-3, 3-6","1","2"
"2016","Australian Open","F","Andy Murray","Novak Djokovic","L","1-6, 5-7, 6-7","0","3"
"2015","Paris Masters 1000","F","Andy Murray","Novak Djokovic","L","2-6, 4-6","0","2"
"2015","Shanghai Masters 1000","S","Andy Murray","Novak Djokovic","L","1-6, 3-6","0","2"
"2015","Montreal Masters 1000","F","Andy Murray","Novak Djokovic","W","6-4, 4-6, 6-3","2","1"
"2015","Roland Garros","S","Andy Murray","Novak Djokovic","L","3-6, 3-6, 7-5, 7-5, 1-6","2","3"
"2015","Miami Masters 1000","F","Andy Murray","Novak Djokovic","L","6-7, 6-4, 0-6","1","2"
"2015","Indian Wells Masters 1000","S","Andy Murray","Novak Djokovic","L","2-6, 3-6","0","2"
"2015","Australian Open","F","Andy Murray","Novak Djokovic","L","6-7, 7-6, 3-6, 0-6","1","3"
"2014","Paris Masters 1000","Q","Andy Murray","Novak Djokovic","L","5-7, 2-6","0","2"
"2014","Beijing Masters 500","S","Andy Murray","Novak Djokovic","L","3-6, 4-6","0","2"
"2014","US Open","Q","Andy Murray","Novak Djokovic","L","6-7, 7-6, 2-6, 4-6","1","3"
"2014","Miami Masters 1000","Q","Andy Murray","Novak Djokovic","L","5-7, 3-6","0","2"
"2013","Wimbledon","F","Andy Murray","Novak Djokovic","W","6-4, 7-5, 6-4","3","0"
"2013","Australian Open","F","Andy Murray","Novak Djokovic","L","7-6, 6-7, 3-6, 2-6","1","3"
"2012","ATP WT Finals","RR","Andy Murray","Novak Djokovic","L","6-4, 3-6, 5-7","1","2"
"2012","Shanghai Masters 1000","F","Andy Murray","Novak Djokovic","L","7-5, 6-7, 3-6","1","2"
"2012","US Open","F","Andy Murray","Novak Djokovic","W","7-6(10), 7-5, 2-6, 3-6, 6-2","3","2"
"2012","Miami Masters 1000","F","Andy Murray","Novak Djokovic","L","1-6, 6-7","0","2"
"2012","Dubai Masters 500","S","Andy Murray","Novak Djokovic","W","6-2, 7-5","2","0"
"2012","Australian Open","S","Andy Murray","Novak Djokovic","L","3-6, 6-3, 7-6, 1-6, 5-7","2","3"
"2011","Cincinnati Masters 1000","F","Andy Murray","Novak Djokovic","W","6-4, 3-0 RET","2","0"
"2011","Rome Masters 1000","S","Andy Murray","Novak Djokovic","L","1-6, 6-3, 6-7","1","2"
"2011","Australian Open","F","Andy Murray","Novak Djokovic","L","4-6, 2-6, 3-6","0","3"
"2009","Miami Masters 1000","F","Andy Murray","Novak Djokovic","W","6-2, 7-5","2","0"
"2008","Cincinnati Masters 1000","F","Andy Murray","Novak Djokovic","W","7-6(4), 7-6(5)","2","0"
"2008","Toronto Masters 1000","Q","Andy Murray","Novak Djokovic","W","6-3, 7-6(3)","2","0"
"2008","Monte Carlo Masters 1000","R16","Andy Murray","Novak Djokovic","L","0-6, 4-6","0","2"
"2007","Miami Masters 1000","S","Andy Murray","Novak Djokovic","L","1-6, 0-6","0","2"
"2007","Indian Wells Masters 1000","S","Andy Murray","Novak Djokovic","L","2-6, 3-6","0","2"
"2006","Madrid Masters 1000","R16","Andy Murray","Novak Djokovic","L","6-1, 5-7, 3-6","1","2"
"2015","Cincinnati Masters 1000","S","Andy Murray","Roger Federer","L","4-6, 6-7","0","2"
"2015","Wimbledon","S","Andy Murray","Roger Federer","L","5-7, 5-7, 4-6","0","3"
"2014","ATP WT Finals","RR","Andy Murray","Roger Federer","L","0-6, 1-6","0","2"
"2014","Cincinnati Masters 1000","Q","Andy Murray","Roger Federer","L","3-6, 5-7","0","2"
"2014","Australian Open","Q","Andy Murray","Roger Federer","L","3-6, 4-6, 7-6, 3-6","1","3"
"2013","Australian Open","S","Andy Murray","Roger Federer","W","6-4, 6-7(5), 6-3, 6-7(2), 6-2","3","2"
"2012","ATP WT Finals","S","Andy Murray","Roger Federer","L","6-7, 2-6","0","2"
"2012","Shanghai Masters 1000","S","Andy Murray","Roger Federer","W","6-4, 6-4","2","0"
"2012","Wimbledon","F","Andy Murray","Roger Federer","L","6-4, 5-7, 3-6, 4-6","1","3"
"2012","Dubai Masters 500","F","Andy Murray","Roger Federer","L","5-7, 4-6","0","2"
"2010","ATP WT Finals","RR","Andy Murray","Roger Federer","L","4-6, 2-6","0","2"
"2010","Shanghai Masters 1000","F","Andy Murray","Roger Federer","W","6-3, 6-2","2","0"
"2010","Toronto Masters 1000","F","Andy Murray","Roger Federer","W","7-5, 7-5","2","0"
"2010","Australian Open","F","Andy Murray","Roger Federer","L","3-6, 4-6, 6-7","0","3"
"2009","ATP WT Finals","RR","Andy Murray","Roger Federer","L","6-3, 3-6, 1-6","1","2"
"2009","Cincinnati Masters 1000","S","Andy Murray","Roger Federer","L","2-6, 6-7","0","2"
"2009","Indian Wells Masters 1000","S","Andy Murray","Roger Federer","W","6-3, 4-6, 6-1","2","1"
"2009","Doha Masters 250","S","Andy Murray","Roger Federer","W","6-7(6), 6-2, 6-2","2","1"
"2008","ATP WT Finals","RR","Andy Murray","Roger Federer","W","4-6, 7-6(3), 7-5","2","1"
"2008","Madrid Masters 1000","S","Andy Murray","Roger Federer","W","3-6, 6-3, 7-5","2","1"
"2008","US Open","F","Andy Murray","Roger Federer","L","2-6, 5-7, 2-6","0","3"
"2008","Dubai Masters 500","R32","Andy Murray","Roger Federer","W","6-7(6), 6-3, 6-4","2","1"
"2006","Cincinnati Masters 1000","R32","Andy Murray","Roger Federer","W","7-5, 6-4","2","0"
"2005","Bangkok Masters 250","F","Andy Murray","Roger Federer","L","3-6, 5-7","0","2"
"2015","Paris Masters 1000","S","Stan Wawrinka","Novak Djokovic","L","3-6, 6-3, 0-6","1","2"
"2015","Cincinnati Masters 1000","Q","Stan Wawrinka","Novak Djokovic","L","4-6, 1-6","0","2"
"2015","Roland Garros","F","Stan Wawrinka","Novak Djokovic","W","4-6, 6-4, 6-3, 6-4","3","1"
"2015","Australian Open","S","Stan Wawrinka","Novak Djokovic","L","6-7, 6-3, 4-6, 6-4, 0-6","2","3"
"2014","ATP WT Finals","RR","Stan Wawrinka","Novak Djokovic","L","3-6, 0-6","0","2"
"2014","Australian Open","Q","Stan Wawrinka","Novak Djokovic","W","2-6, 6-4, 6-2, 3-6, 9-7","3","2"
"2013","ATP WT Finals","S","Stan Wawrinka","Novak Djokovic","L","3-6, 3-6","0","2"
"2013","Paris Masters 1000","Q","Stan Wawrinka","Novak Djokovic","L","1-6, 4-6","0","2"
"2013","US Open","S","Stan Wawrinka","Novak Djokovic","L","6-2, 6-7, 6-3, 3-6, 4-6","2","3"
"2013","Australian Open","R16","Stan Wawrinka","Novak Djokovic","L","6-1, 5-7, 4-6, 7-6, 10-12","2","3"
"2012","US Open","R16","Stan Wawrinka","Novak Djokovic","L","4-6, 1-6, 1-3 RET","0","3"
"2012","Madrid Masters 1000","R16","Stan Wawrinka","Novak Djokovic","L","6-7, 4-6","0","2"
"2011","Rome Masters 1000","R16","Stan Wawrinka","Novak Djokovic","L","4-6, 1-6","0","2"
"2010","Monte Carlo Masters 1000","R16","Stan Wawrinka","Novak Djokovic","L","4-6, 4-6","0","2"
"2009","Basel Masters 500","Q","Stan Wawrinka","Novak Djokovic","L","6-3, 6-7, 2-6","1","2"
"2009","Monte Carlo Masters 1000","S","Stan Wawrinka","Novak Djokovic","L","6-4, 1-6, 3-6","1","2"
"2009","Indian Wells Masters 1000","R16","Stan Wawrinka","Novak Djokovic","L","6-7, 6-7","0","2"
"2008","Rome Masters 1000","F","Stan Wawrinka","Novak Djokovic","L","6-4, 3-6, 3-6","1","2"
"2008","Indian Wells Masters 1000","Q","Stan Wawrinka","Novak Djokovic","L","6-7, 2-6","0","2"
"2007","Vienna Masters 500","F","Stan Wawrinka","Novak Djokovic","L","4-6, 0-6","0","2"
"2006","Vienna Masters 500","R16","Stan Wawrinka","Novak Djokovic","W","6-3, 6-3","2","0"
"2006","Umag Masters 250","F","Stan Wawrinka","Novak Djokovic","W","6-6(1) RET","0","0"
"2015","ATP WT Finals","S","Stan Wawrinka","Roger Federer","L","5-7, 3-6","0","2"
"2015","US Open","S","Stan Wawrinka","Roger Federer","L","4-6, 3-6, 1-6","0","3"
"2015","Roland Garros","Q","Stan Wawrinka","Roger Federer","W","6-4, 6-3, 7-6(4)","3","0"
"2015","Rome Masters 1000","S","Stan Wawrinka","Roger Federer","L","4-6, 2-6","0","2"
"2014","ATP WT Finals","S","Stan Wawrinka","Roger Federer","L","6-4, 5-7, 6-7","1","2"
"2014","Wimbledon","Q","Stan Wawrinka","Roger Federer","L","6-3, 6-7, 4-6, 4-6","1","3"
"2014","Monte Carlo Masters 1000","F","Stan Wawrinka","Roger Federer","W","4-6, 7-6(5), 6-2","2","1"
"2013","Indian Wells Masters 1000","R16","Stan Wawrinka","Roger Federer","L","3-6, 7-6, 5-7","1","2"
"2012","Shanghai Masters 1000","R16","Stan Wawrinka","Roger Federer","L","6-4, 6-7, 0-6","1","2"
"2012","Cincinnati Masters 1000","S","Stan Wawrinka","Roger Federer","L","6-7, 3-6","0","2"
"2011","Basel Masters 500","S","Stan Wawrinka","Roger Federer","L","6-7, 2-6","0","2"
"2011","Roland Garros","R16","Stan Wawrinka","Roger Federer","L","3-6, 2-6, 5-7","0","3"
"2011","Indian Wells Masters 1000","Q","Stan Wawrinka","Roger Federer","L","3-6, 4-6","0","2"
"2011","Australian Open","Q","Stan Wawrinka","Roger Federer","L","1-6, 3-6, 3-6","0","3"
"2010","Stockholm Masters 250","Q","Stan Wawrinka","Roger Federer","L","6-2, 3-6, 2-6","1","2"
"2010","Roland Garros","R16","Stan Wawrinka","Roger Federer","L","3-6, 6-7, 2-6","0","3"
"2010","Madrid Masters 1000","R16","Stan Wawrinka","Roger Federer","L","3-6, 1-6","0","2"
"2009","Montreal Masters 1000","R16","Stan Wawrinka","Roger Federer","L","3-6, 6-7","0","2"
"2009","Monte Carlo Masters 1000","R16","Stan Wawrinka","Roger Federer","W","6-4, 7-5","2","0"
"2006","Dubai Masters 500","R32","Stan Wawrinka","Roger Federer","L","6-7, 3-6","0","2"
"2005","Rotterdam Masters 500","R16","Stan Wawrinka","Roger Federer","L","1-6, 4-6","0","2"
"2015","ATP WT Finals","RR","Stan Wawrinka","Andy Murray","W","7-6, 6-4","2","0"
"2013","US Open","Q","Stan Wawrinka","Andy Murray","W","6-4, 6-3, 6-2","3","0"
"2013","Monte Carlo Masters 1000","R16","Stan Wawrinka","Andy Murray","W","6-1, 6-2","2","0"
"2012","Tokyo Masters 500","Q","Stan Wawrinka","Andy Murray","L","2-6, 6-3, 2-6","1","2"
"2011","Shanghai Masters 1000","R16","Stan Wawrinka","Andy Murray","L","4-6, 6-3, 3-6","1","2"
"2010","US Open","R32","Stan Wawrinka","Andy Murray","W","6-7(3), 7-6(4), 6-3, 6-3","3","1"
"2009","Wimbledon","R16","Stan Wawrinka","Andy Murray","L","6-2, 3-6, 3-6, 7-5, 3-6","2","3"
"2008","US Open","R16","Stan Wawrinka","Andy Murray","L","1-6, 3-6, 3-6","0","3"
"2008","Toronto Masters 1000","R16","Stan Wawrinka","Andy Murray","L","2-6, 6-0, 4-6","1","2"
"2008","Rome Masters 1000","R32","Stan Wawrinka","Andy Murray","W","6-2, 7-6(5)","2","0"
"2008","Marseille Masters 250","R16","Stan Wawrinka","Andy Murray","L","6-3, 6-7, 1-6","1","2"
"2008","Doha Masters 250","F","Stan Wawrinka","Andy Murray","L","4-6, 6-4, 2-6","1","2"
"2008","Doha Masters 250","F","Stan Wawrinka","Andy Murray","L","4-6, 6-4, 2-6","1","2"
"2006","Miami Masters 1000","R128","Stan Wawrinka","Andy Murray","W","7-5, 3-6, 6-4","2","1"
"2016","Rome Masters 1000","Q","Rafael Nadal","Novak Djokovic","L","5-7, 6-7","0","2"
"2016","Indian Wells Masters 1000","S","Rafael Nadal","Novak Djokovic","L","6-7, 2-6","0","2"
"2016","Doha Masters 250","F","Rafael Nadal","Novak Djokovic","L","1-6, 2-6","0","2"
"2015","ATP WT Finals","S","Rafael Nadal","Novak Djokovic","L","3-6, 3-6","0","2"
"2015","Beijing Masters 500","F","Rafael Nadal","Novak Djokovic","L","2-6, 2-6","0","2"
"2015","Roland Garros","Q","Rafael Nadal","Novak Djokovic","L","5-7, 3-6, 1-6","0","3"
"2015","Monte Carlo Masters 1000","S","Rafael Nadal","Novak Djokovic","L","3-6, 3-6","0","2"
"2014","Roland Garros","F","Rafael Nadal","Novak Djokovic","W","3-6, 7-5, 6-2, 6-4","3","1"
"2014","Rome Masters 1000","F","Rafael Nadal","Novak Djokovic","L","6-4, 3-6, 3-6","1","2"
"2014","Miami Masters 1000","F","Rafael Nadal","Novak Djokovic","L","3-6, 3-6","0","2"
"2013","ATP WT Finals","F","Rafael Nadal","Novak Djokovic","L","3-6, 4-6","0","2"
"2013","Beijing Masters 500","F","Rafael Nadal","Novak Djokovic","L","3-6, 4-6","0","2"
"2013","US Open","F","Rafael Nadal","Novak Djokovic","W","6-2, 3-6, 6-4, 6-1","3","1"
"2013","Montreal Masters 1000","S","Rafael Nadal","Novak Djokovic","W","6-4, 3-6, 7-6(2)","2","1"
"2013","Roland Garros","S","Rafael Nadal","Novak Djokovic","W","6-4, 3-6, 6-1, 6-7(3), 9-7","3","2"
"2013","Monte Carlo Masters 1000","F","Rafael Nadal","Novak Djokovic","L","2-6, 6-7","0","2"
"2012","Roland Garros","F","Rafael Nadal","Novak Djokovic","W","6-4, 6-3, 2-6, 7-5","3","1"
"2012","Rome Masters 1000","F","Rafael Nadal","Novak Djokovic","W","7-5, 6-3","2","0"
"2012","Monte Carlo Masters 1000","F","Rafael Nadal","Novak Djokovic","W","6-3, 6-1","2","0"
"2012","Australian Open","F","Rafael Nadal","Novak Djokovic","L","7-5, 4-6, 2-6, 7-6, 5-7","2","3"
"2011","US Open","F","Rafael Nadal","Novak Djokovic","L","2-6, 4-6, 7-6, 1-6","1","3"
"2011","Wimbledon","F","Rafael Nadal","Novak Djokovic","L","4-6, 1-6, 6-1, 3-6","1","3"
"2011","Rome Masters 1000","F","Rafael Nadal","Novak Djokovic","L","4-6, 4-6","0","2"
"2011","Madrid Masters 1000","F","Rafael Nadal","Novak Djokovic","L","5-7, 4-6","0","2"
"2011","Miami Masters 1000","F","Rafael Nadal","Novak Djokovic","L","6-4, 3-6, 6-7","1","2"
"2011","Indian Wells Masters 1000","F","Rafael Nadal","Novak Djokovic","L","6-4, 3-6, 2-6","1","2"
"2010","ATP WT Finals","RR","Rafael Nadal","Novak Djokovic","W","7-5, 6-2","2","0"
"2010","US Open","F","Rafael Nadal","Novak Djokovic","W","6-4, 5-7, 6-4, 6-2","3","1"
"2009","ATP WT Finals","RR","Rafael Nadal","Novak Djokovic","L","6-7, 3-6","0","2"
"2009","Paris Masters 1000","S","Rafael Nadal","Novak Djokovic","L","2-6, 3-6","0","2"
"2009","Cincinnati Masters 1000","S","Rafael Nadal","Novak Djokovic","L","1-6, 4-6","0","2"
"2009","Madrid Masters 1000","S","Rafael Nadal","Novak Djokovic","W","3-6, 7-6(5), 7-6(9)","2","1"
"2009","Rome Masters 1000","F","Rafael Nadal","Novak Djokovic","W","7-6(2), 6-2","2","0"
"2009","Monte Carlo Masters 1000","F","Rafael Nadal","Novak Djokovic","W","6-3, 2-6, 6-1","2","1"
"2008","Cincinnati Masters 1000","S","Rafael Nadal","Novak Djokovic","L","1-6, 5-7","0","2"
"2008","London Masters 250","F","Rafael Nadal","Novak Djokovic","W","7-6(6), 7-5","2","0"
"2008","Roland Garros","S","Rafael Nadal","Novak Djokovic","W","6-4, 6-2, 7-6(3)","3","0"
"2008","Hamburg Masters 1000","S","Rafael Nadal","Novak Djokovic","W","7-5, 2-6, 6-2","2","1"
"2008","Indian Wells Masters 1000","S","Rafael Nadal","Novak Djokovic","L","3-6, 2-6","0","2"
"2007","ATP WT Finals","RR","Rafael Nadal","Novak Djokovic","W","6-4, 6-4","2","0"
"2007","Montreal Masters 1000","S","Rafael Nadal","Novak Djokovic","L","5-7, 3-6","0","2"
"2007","Wimbledon","S","Rafael Nadal","Novak Djokovic","W","3-6, 6-1, 4-1 RET","2","1"
"2007","Roland Garros","S","Rafael Nadal","Novak Djokovic","W","7-5, 6-4, 6-2","3","0"
"2007","Rome Masters 1000","Q","Rafael Nadal","Novak Djokovic","W","6-2, 6-3","2","0"
"2007","Miami Masters 1000","Q","Rafael Nadal","Novak Djokovic","L","3-6, 4-6","0","2"
"2007","Indian Wells Masters 1000","F","Rafael Nadal","Novak Djokovic","W","6-2, 7-5","2","0"
"2006","Roland Garros","Q","Rafael Nadal","Novak Djokovic","W","6-4, 6-4 RET","2","0"
"2015","Basel Masters 500","F","Rafael Nadal","Roger Federer","L","3-6, 7-5, 3-6","1","2"
"2014","Australian Open","S","Rafael Nadal","Roger Federer","W","7-6(4), 6-3, 6-3","3","0"
"2013","ATP WT Finals","S","Rafael Nadal","Roger Federer","W","7-5, 6-3","2","0"
"2013","Cincinnati Masters 1000","Q","Rafael Nadal","Roger Federer","W","5-7, 6-4, 6-3","2","1"
"2013","Rome Masters 1000","F","Rafael Nadal","Roger Federer","W","6-1, 6-3","2","0"
"2013","Indian Wells Masters 1000","Q","Rafael Nadal","Roger Federer","W","6-4, 6-2","2","0"
"2012","Indian Wells Masters 1000","S","Rafael Nadal","Roger Federer","L","3-6, 4-6","0","2"
"2012","Australian Open","S","Rafael Nadal","Roger Federer","W","6-7(5), 6-2, 7-6(5), 6-4","3","1"
"2011","ATP WT Finals","RR","Rafael Nadal","Roger Federer","L","3-6, 0-6","0","2"
"2011","Roland Garros","F","Rafael Nadal","Roger Federer","W","7-5, 7-6(3), 5-7, 6-1","3","1"
"2011","Madrid Masters 1000","S","Rafael Nadal","Roger Federer","W","5-7, 6-1, 6-3","2","1"
"2011","Miami Masters 1000","S","Rafael Nadal","Roger Federer","W","6-3, 6-2","2","0"
"2010","ATP WT Finals","F","Rafael Nadal","Roger Federer","L","3-6, 6-3, 1-6","1","2"
"2010","Madrid Masters 1000","F","Rafael Nadal","Roger Federer","W","6-4, 7-6(5)","2","0"
"2009","Madrid Masters 1000","F","Rafael Nadal","Roger Federer","L","4-6, 4-6","0","2"
"2009","Australian Open","F","Rafael Nadal","Roger Federer","W","7-5, 3-6, 7-6(3), 3-6, 6-2","3","2"
"2008","Wimbledon","F","Rafael Nadal","Roger Federer","W","6-4, 6-4, 6-7(5), 6-7(8), 9-7","3","2"
"2008","Roland Garros","F","Rafael Nadal","Roger Federer","W","6-1, 6-3, 6-0","3","0"
"2008","Hamburg Masters 1000","F","Rafael Nadal","Roger Federer","W","7-5, 6-7(3), 6-3","2","1"
"2008","Monte Carlo Masters 1000","F","Rafael Nadal","Roger Federer","W","7-5, 7-5","2","0"
"2007","ATP WT Finals","S","Rafael Nadal","Roger Federer","L","4-6, 1-6","0","2"
"2007","Wimbledon","F","Rafael Nadal","Roger Federer","L","6-7, 6-4, 6-7, 6-2, 2-6","2","3"
"2007","Roland Garros","F","Rafael Nadal","Roger Federer","W","6-3, 4-6, 6-3, 6-4","3","1"
"2007","Hamburg Masters 1000","F","Rafael Nadal","Roger Federer","L","6-2, 2-6, 0-6","1","2"
"2007","Monte Carlo Masters 1000","F","Rafael Nadal","Roger Federer","W","6-4, 6-4","2","0"
"2006","ATP WT Finals","S","Rafael Nadal","Roger Federer","L","4-6, 5-7","0","2"
"2006","Wimbledon","F","Rafael Nadal","Roger Federer","L","0-6, 6-7, 7-6, 3-6","1","3"
"2006","Roland Garros","F","Rafael Nadal","Roger Federer","W","1-6, 6-1, 6-4, 7-6(4)","3","1"
"2006","Rome Masters 1000","F","Rafael Nadal","Roger Federer","W","6-7(0), 7-6(5), 6-4, 2-6, 7-6(5)","3","2"
"2006","Monte Carlo Masters 1000","F","Rafael Nadal","Roger Federer","W","6-2, 6-7(2), 6-3, 7-6(5)","3","1"
"2006","Dubai Masters 500","F","Rafael Nadal","Roger Federer","W","2-6, 6-4, 6-4","2","1"
"2005","Roland Garros","S","Rafael Nadal","Roger Federer","W","6-3, 4-6, 6-4, 6-3","3","1"
"2005","Miami Masters 1000","F","Rafael Nadal","Roger Federer","L","6-2, 7-6, 6-7, 3-6, 1-6","2","3"
"2004","Miami Masters 1000","R32","Rafael Nadal","Roger Federer","W","6-3, 6-3","2","0"
"2016","Madrid Masters 1000","S","Rafael Nadal","Andy Murray","L","5-7, 4-6","0","2"
"2016","Monte Carlo Masters 1000","S","Rafael Nadal","Andy Murray","W","2-6, 6-4, 6-2","2","1"
"2015","ATP WT Finals","RR","Rafael Nadal","Andy Murray","W","6-4, 6-1","2","0"
"2015","Madrid Masters 1000","F","Rafael Nadal","Andy Murray","L","3-6, 2-6","0","2"
"2014","Roland Garros","S","Rafael Nadal","Andy Murray","W","6-3, 6-2, 6-1","3","0"
"2014","Rome Masters 1000","Q","Rafael Nadal","Andy Murray","W","1-6, 6-3, 7-5","2","1"
"2012","Miami Masters 1000","S","Rafael Nadal","Andy Murray","L","WO","0","0"
"2011","Tokyo Masters 500","F","Rafael Nadal","Andy Murray","L","6-3, 2-6, 0-6","1","2"
"2011","US Open","S","Rafael Nadal","Andy Murray","W","6-4, 6-2, 3-6, 6-2","3","1"
"2011","Wimbledon","S","Rafael Nadal","Andy Murray","W","5-7, 6-2, 6-2, 6-4","3","1"
"2011","Roland Garros","S","Rafael Nadal","Andy Murray","W","6-4, 7-5, 6-4","3","0"
"2011","Monte Carlo Masters 1000","S","Rafael Nadal","Andy Murray","W","6-4, 2-6, 6-1","2","1"
"2010","ATP WT Finals","S","Rafael Nadal","Andy Murray","W","7-6(3), 6-1","2","0"
"2010","Toronto Masters 1000","S","Rafael Nadal","Andy Murray","L","3-6, 4-6","0","2"
"2010","Wimbledon","S","Rafael Nadal","Andy Murray","W","6-4, 7-6(6), 6-4","3","0"
"2010","Australian Open","Q","Rafael Nadal","Andy Murray","L","3-6, 6-7, 0-3 RET","0","3"
"2009","Monte Carlo Masters 1000","S","Rafael Nadal","Andy Murray","W","6-2, 7-6(4)","2","0"
"2009","Indian Wells Masters 1000","F","Rafael Nadal","Andy Murray","W","6-1, 6-2","2","0"
"2009","Rotterdam Masters 500","F","Rafael Nadal","Andy Murray","L","3-6, 6-4, 0-6","1","2"
"2008","US Open","S","Rafael Nadal","Andy Murray","L","2-6, 6-7, 6-4, 4-6","1","3"
"2008","Toronto Masters 1000","S","Rafael Nadal","Andy Murray","W","7-6(2), 6-3","2","0"
"2008","Wimbledon","Q","Rafael Nadal","Andy Murray","W","6-3, 6-2, 6-4","3","0"
"2008","Hamburg Masters 1000","R16","Rafael Nadal","Andy Murray","W","6-3, 6-2","2","0"
"2007","Madrid Masters 1000","R16","Rafael Nadal","Andy Murray","W","7-6(5), 6-4","2","0"
"2007","Australian Open","R16","Rafael Nadal","Andy Murray","W","6-7(3), 6-4, 4-6, 6-3, 6-1","3","2"
